Time,ABP,PLETH,II
13:32:29.000,71.295,0.435,0.219
13:32:29.008,71.295,0.412,0.273
13:32:29.016,71.71,0.388,0.328
13:32:29.024,71.71,0.369,0.383
13:32:29.032,72.539,0.345,0.43
13:32:29.040,73.368,0.325,0.453
13:32:29.048,73.368,0.31,0.469
13:32:29.056,72.539,0.294,0.453
13:32:29.064,71.295,0.282,0.43
13:32:29.072,70.466,0.275,0.383
13:32:29.080,68.808,0.271,0.32
13:32:29.088,69.637,0.271,0.258
13:32:29.096,75.026,0.278,0.219
13:32:29.104,86.632,0.286,0.18
13:32:29.112,104.87,0.294,0.148
13:32:29.120,121.036,0.31,0.141
13:32:29.128,130.57,0.322,0.141
13:32:29.136,132.642,0.337,0.148
13:32:29.144,132.642,0.353,0.148
13:32:29.152,133.472,0.365,0.156
13:32:29.160,135.13,0.373,0.164
13:32:29.168,136.788,0.38,0.164
13:32:29.176,136.788,0.388,0.164
13:32:29.184,135.959,0.392,0.164
13:32:29.192,134.301,0.392,0.164
13:32:29.200,132.228,0.392,0.172
13:32:29.208,130.57,0.392,0.172
13:32:29.216,128.912,0.388,0.164
13:32:29.224,127.254,0.384,0.164
13:32:29.232,125.596,0.38,0.164
13:32:29.240,123.523,0.376,0.164
13:32:29.248,121.865,0.369,0.164
13:32:29.256,119.378,0.365,0.172
13:32:29.264,116.477,0.361,0.219
13:32:29.272,113.99,0.353,0.273
13:32:29.280,111.088,0.349,0.305
13:32:29.288,107.772,0.341,0.289
13:32:29.296,104.87,0.337,0.25
13:32:29.304,101.554,0.333,0.195
13:32:29.312,98.238,0.325,0.148
13:32:29.320,95.337,0.318,0.125
13:32:29.328,92.021,0.314,0.125
13:32:29.336,89.948,0.314,0.125
13:32:29.344,87.461,0.333,0.133
13:32:29.352,84.974,0.365,0.125
13:32:29.360,83.731,0.412,0.055
13:32:29.368,82.073,0.471,-0.164
13:32:29.376,80.415,0.533,-0.328
13:32:29.384,79.585,0.6,0.055
13:32:29.392,78.756,0.651,1.117
13:32:29.400,78.756,0.686,1.508
13:32:29.408,77.927,0.714,1.508
13:32:29.416,77.927,0.733,0.906
13:32:29.424,77.927,0.741,0.438
13:32:29.432,77.513,0.741,0.148
13:32:29.440,77.513,0.733,0.031
13:32:29.448,76.684,0.718,-0.016
13:32:29.456,76.684,0.702,-0.023
13:32:29.464,76.684,0.682,-0.023
13:32:29.472,77.513,0.659,-0.016
13:32:29.480,77.513,0.639,-0.008
13:32:29.488,77.513,0.616,0.008
13:32:29.496,77.927,0.596,0.023
13:32:29.504,77.927,0.576,0.039
13:32:29.512,77.927,0.557,0.062
13:32:29.520,77.927,0.537,0.086
13:32:29.528,77.927,0.518,0.109
13:32:29.536,77.927,0.498,0.133
13:32:29.544,77.513,0.478,0.164
13:32:29.552,77.513,0.459,0.203
13:32:29.560,77.513,0.439,0.242
13:32:29.568,77.513,0.424,0.297
13:32:29.576,77.513,0.404,0.352
13:32:29.584,77.927,0.388,0.414
13:32:29.592,77.927,0.373,0.453
13:32:29.600,78.756,0.361,0.484
13:32:29.608,77.927,0.349,0.492
13:32:29.616,77.513,0.337,0.484
13:32:29.624,75.855,0.329,0.461
13:32:29.632,75.026,0.329,0.414
13:32:29.640,74.197,0.329,0.344
13:32:29.648,74.197,0.337,0.273
13:32:29.656,78.756,0.345,0.219
13:32:29.664,90.777,0.357,0.188
13:32:29.672,107.772,0.373,0.164
13:32:29.680,123.523,0.388,0.148
13:32:29.688,132.642,0.4,0.148
13:32:29.696,135.959,0.408,0.148
13:32:29.704,135.959,0.416,0.148
13:32:29.712,135.959,0.424,0.148
13:32:29.720,137.617,0.427,0.148
13:32:29.728,138.86,0.431,0.156
13:32:29.736,138.86,0.431,0.156
13:32:29.744,138.446,0.427,0.148
13:32:29.752,135.959,0.424,0.148
13:32:29.760,134.301,0.42,0.148
13:32:29.768,132.228,0.416,0.148
13:32:29.776,130.57,0.408,0.148
13:32:29.784,128.912,0.404,0.148
13:32:29.792,126.425,0.396,0.148
13:32:29.800,125.181,0.392,0.148
13:32:29.808,122.694,0.384,0.148
13:32:29.816,120.207,0.376,0.141
13:32:29.824,117.306,0.369,0.148
13:32:29.832,114.819,0.361,0.172
13:32:29.840,111.088,0.353,0.227
13:32:29.848,107.772,0.345,0.273
13:32:29.856,104.87,0.337,0.289
13:32:29.864,101.554,0.329,0.266
13:32:29.872,98.238,0.322,0.219
13:32:29.880,95.337,0.314,0.18
13:32:29.888,92.021,0.31,0.141
13:32:29.896,89.948,0.314,0.125
13:32:29.904,87.461,0.325,0.125
13:32:29.912,85.803,0.353,0.125
13:32:29.920,84.56,0.396,0.125
13:32:29.928,82.902,0.451,0.109
13:32:29.936,82.073,0.51,-0.016
13:32:29.944,81.244,0.569,-0.258
13:32:29.952,80.415,0.62,-0.336
13:32:29.960,80.415,0.659,0.367
13:32:29.968,79.585,0.686,1.461
13:32:29.976,79.585,0.698,1.508
13:32:29.984,79.585,0.702,1.289
13:32:29.992,78.756,0.702,0.695
13:32:30.000,78.756,0.69,0.305
13:32:30.008,78.756,0.678,0.094
13:32:30.016,78.756,0.663,0.016
13:32:30.024,78.756,0.643,-0.016
13:32:30.032,78.756,0.624,-0.023
13:32:30.040,79.585,0.604,-0.023
13:32:30.048,79.585,0.584,-0.016
13:32:30.056,79.585,0.565,0.008
13:32:30.064,80.415,0.541,0.023
13:32:30.072,80.415,0.522,0.039
13:32:30.080,80.415,0.506,0.055
13:32:30.088,80.415,0.486,0.078
13:32:30.096,80.415,0.471,0.094
13:32:30.104,79.585,0.455,0.117
13:32:30.112,79.585,0.439,0.156
13:32:30.120,78.756,0.42,0.188
13:32:30.128,78.756,0.404,0.219
13:32:30.136,78.756,0.388,0.266
13:32:30.144,78.756,0.369,0.312
13:32:30.152,78.756,0.357,0.367
13:32:30.160,78.756,0.341,0.43
13:32:30.168,78.756,0.333,0.461
13:32:30.176,78.756,0.325,0.484
13:32:30.184,78.756,0.325,0.492
13:32:30.192,77.927,0.329,0.484
13:32:30.200,76.684,0.333,0.453
13:32:30.208,75.026,0.341,0.406
13:32:30.216,74.197,0.353,0.344
13:32:30.224,75.855,0.365,0.273
13:32:30.232,82.073,0.38,0.234
13:32:30.240,95.337,0.392,0.195
13:32:30.248,112.332,0.4,0.18
13:32:30.256,127.254,0.408,0.164
13:32:30.264,134.301,0.416,0.164
13:32:30.272,135.959,0.416,0.164
13:32:30.280,135.13,0.42,0.164
13:32:30.288,135.959,0.416,0.164
13:32:30.296,137.617,0.416,0.164
13:32:30.304,138.86,0.412,0.164
13:32:30.312,138.86,0.408,0.164
13:32:30.320,137.617,0.404,0.164
13:32:30.328,135.13,0.4,0.164
13:32:30.336,132.642,0.392,0.164
13:32:30.344,131.399,0.384,0.164
13:32:30.352,128.912,0.376,0.164
13:32:30.360,127.254,0.373,0.164
13:32:30.368,125.181,0.365,0.164
13:32:30.376,122.694,0.357,0.164
13:32:30.384,120.207,0.349,0.156
13:32:30.392,118.135,0.341,0.148
13:32:30.400,114.819,0.337,0.148
13:32:30.408,111.917,0.333,0.156
13:32:30.416,108.601,0.325,0.188
13:32:30.424,105.285,0.322,0.234
13:32:30.432,102.383,0.314,0.289
13:32:30.440,98.238,0.306,0.305
13:32:30.448,95.337,0.298,0.273
13:32:30.456,92.85,0.29,0.227
13:32:30.464,90.777,0.29,0.18
13:32:30.472,88.29,0.302,0.148
13:32:30.480,85.803,0.325,0.133
13:32:30.488,84.56,0.353,0.133
13:32:30.496,82.902,0.392,0.133
13:32:30.504,82.073,0.447,0.141
13:32:30.512,81.244,0.506,0.117
13:32:30.520,80.415,0.561,-0.016
13:32:30.528,79.585,0.612,-0.258
13:32:30.536,78.756,0.647,-0.32
13:32:30.544,78.756,0.675,0.414
13:32:30.552,77.927,0.686,1.461
13:32:30.560,77.927,0.69,1.508
13:32:30.568,77.927,0.686,1.125
13:32:30.576,77.513,0.675,0.594
13:32:30.584,77.513,0.659,0.258
13:32:30.592,77.513,0.643,0.094
13:32:30.600,77.513,0.627,0.023
13:32:30.608,77.513,0.608,-0.008
13:32:30.616,77.513,0.588,-0.008
13:32:30.624,77.927,0.569,0.0
13:32:30.632,77.927,0.549,0.016
13:32:30.640,77.927,0.529,0.031
13:32:30.648,77.927,0.506,0.055
13:32:30.656,77.927,0.486,0.062
13:32:30.664,77.927,0.471,0.078
13:32:30.672,77.513,0.451,0.094
13:32:30.680,77.513,0.431,0.117
13:32:30.688,76.684,0.416,0.148
13:32:30.696,75.855,0.4,0.18
13:32:30.704,75.026,0.384,0.211
13:32:30.712,75.026,0.369,0.258
13:32:30.720,74.197,0.353,0.305
13:32:30.728,74.197,0.337,0.367
13:32:30.736,73.368,0.325,0.43
13:32:30.744,74.197,0.318,0.477
13:32:30.752,74.197,0.318,0.531
13:32:30.760,74.197,0.318,0.547
13:32:30.768,74.197,0.322,0.555
13:32:30.776,72.539,0.333,0.531
13:32:30.784,71.295,0.345,0.484
13:32:30.792,69.637,0.357,0.422
13:32:30.800,68.808,0.369,0.352
13:32:30.808,68.808,0.38,0.289
13:32:30.816,72.539,0.392,0.234
13:32:30.824,82.902,0.4,0.195
13:32:30.832,98.238,0.408,0.164
13:32:30.840,113.161,0.416,0.156
13:32:30.848,121.865,0.416,0.148
13:32:30.856,124.352,0.416,0.164
13:32:30.864,124.352,0.416,0.164
13:32:30.872,124.352,0.412,0.164
13:32:30.880,125.596,0.404,0.164
13:32:30.888,126.425,0.4,0.164
13:32:30.896,127.254,0.396,0.164
13:32:30.904,126.425,0.388,0.164
13:32:30.912,125.181,0.384,0.164
13:32:30.920,122.694,0.376,0.164
13:32:30.928,120.207,0.369,0.164
13:32:30.936,118.549,0.361,0.164
13:32:30.944,117.306,0.353,0.164
13:32:30.952,114.819,0.341,0.164
13:32:30.960,112.332,0.333,0.164
13:32:30.968,110.259,0.325,0.18
13:32:30.976,106.943,0.318,0.219
13:32:30.984,104.041,0.306,0.273
13:32:30.992,101.554,0.302,0.312
13:32:31.000,98.238,0.294,0.32
13:32:31.008,94.508,0.29,0.289
13:32:31.016,91.606,0.286,0.234
13:32:31.024,89.119,0.278,0.18
13:32:31.032,85.803,0.271,0.148
13:32:31.040,83.731,0.263,0.133
13:32:31.048,82.073,0.255,0.133
13:32:31.056,80.415,0.251,0.141
13:32:31.064,78.756,0.255,0.141
13:32:31.072,77.927,0.275,0.102
13:32:31.080,76.684,0.31,-0.062
13:32:31.088,75.855,0.349,-0.266
13:32:31.096,75.026,0.4,-0.117
13:32:31.104,74.197,0.459,0.734
13:32:31.112,74.197,0.518,1.508
13:32:31.120,73.368,0.576,1.492
13:32:31.128,73.368,0.62,0.781
13:32:31.136,72.539,0.651,0.336
13:32:31.144,72.539,0.671,0.164
13:32:31.152,72.539,0.678,0.07
13:32:31.160,71.71,0.675,0.031
13:32:31.168,71.71,0.663,0.023
13:32:31.176,71.71,0.651,0.023
13:32:31.184,71.71,0.631,0.039
13:32:31.192,72.539,0.612,0.047
13:32:31.200,72.539,0.596,0.062
13:32:31.208,72.539,0.573,0.078
13:32:31.216,72.539,0.553,0.102
13:32:31.224,72.539,0.529,0.117
13:32:31.232,72.539,0.506,0.141
13:32:31.240,72.539,0.486,0.164
13:32:31.248,72.539,0.463,0.195
13:32:31.256,72.539,0.439,0.234
13:32:31.264,72.539,0.42,0.273
13:32:31.272,72.539,0.4,0.312
13:32:31.280,72.539,0.376,0.367
13:32:31.288,72.539,0.361,0.438
13:32:31.296,72.539,0.345,0.508
13:32:31.304,72.539,0.329,0.562
13:32:31.312,73.368,0.314,0.586
13:32:31.320,73.368,0.298,0.594
13:32:31.328,73.368,0.29,0.586
13:32:31.336,71.71,0.282,0.555
13:32:31.344,70.466,0.278,0.484
13:32:31.352,67.979,0.278,0.414
13:32:31.360,66.321,0.286,0.328
13:32:31.368,65.492,0.294,0.266
13:32:31.376,65.492,0.306,0.219
13:32:31.384,67.979,0.322,0.18
13:32:31.392,74.197,0.333,0.164
13:32:31.400,85.803,0.345,0.156
13:32:31.408,99.067,0.357,0.148
13:32:31.416,108.601,0.373,0.148
13:32:31.424,111.917,0.384,0.148
13:32:31.432,111.917,0.388,0.148
13:32:31.440,111.088,0.392,0.148
13:32:31.448,111.088,0.396,0.148
13:32:31.456,112.332,0.396,0.148
13:32:31.464,113.161,0.396,0.148
13:32:31.472,113.161,0.396,0.156
13:32:31.480,111.917,0.392,0.164
13:32:31.488,110.259,0.388,0.164
13:32:31.496,108.601,0.384,0.164
13:32:31.504,106.114,0.38,0.164
13:32:31.512,104.87,0.373,0.164
13:32:31.520,102.383,0.369,0.164
13:32:31.528,99.896,0.361,0.188
13:32:31.536,96.995,0.357,0.242
13:32:31.544,94.508,0.349,0.289
13:32:31.552,92.021,0.345,0.305
13:32:31.560,89.119,0.341,0.289
13:32:31.568,86.632,0.337,0.242
13:32:31.576,84.974,0.333,0.188
13:32:31.584,82.902,0.329,0.148
13:32:31.592,81.244,0.325,0.133
13:32:31.600,79.585,0.322,0.133
13:32:31.608,78.756,0.318,0.141
13:32:31.616,77.927,0.31,0.141
13:32:31.624,77.513,0.306,0.117
13:32:31.632,76.684,0.302,0.008
13:32:31.640,75.855,0.31,-0.203
13:32:31.648,75.026,0.325,-0.258
13:32:31.656,74.197,0.357,0.484
13:32:31.664,73.368,0.4,1.508
13:32:31.672,72.539,0.451,1.508
13:32:31.680,72.539,0.502,1.203
13:32:31.688,71.71,0.545,0.594
13:32:31.696,71.71,0.58,0.266
13:32:31.704,71.71,0.608,0.094
13:32:31.712,71.71,0.627,0.016
13:32:31.720,71.71,0.639,-0.008
13:32:31.728,71.71,0.639,-0.008
13:32:31.736,72.539,0.635,-0.008
13:32:31.744,72.539,0.627,0.0
13:32:31.752,72.539,0.612,0.008
13:32:31.760,73.368,0.592,0.023
13:32:31.768,73.368,0.573,0.047
13:32:31.776,74.197,0.553,0.062
13:32:31.784,74.197,0.529,0.086
13:32:31.792,74.197,0.51,0.109
13:32:31.800,74.197,0.49,0.125
13:32:31.808,74.197,0.471,0.148
13:32:31.816,74.197,0.447,0.188
13:32:31.824,74.197,0.424,0.234
13:32:31.832,74.197,0.404,0.273
13:32:31.840,74.197,0.38,0.328
13:32:31.848,74.197,0.361,0.391
13:32:31.856,75.026,0.337,0.445
13:32:31.864,75.855,0.322,0.469
13:32:31.872,75.855,0.302,0.492
13:32:31.880,75.855,0.29,0.492
13:32:31.888,75.026,0.278,0.477
13:32:31.896,73.368,0.275,0.438
13:32:31.904,71.71,0.267,0.383
13:32:31.912,70.466,0.267,0.312
13:32:31.920,70.466,0.267,0.258
13:32:31.928,72.539,0.271,0.203
13:32:31.936,81.244,0.278,0.164
13:32:31.944,95.337,0.286,0.148
13:32:31.952,111.088,0.298,0.148
13:32:31.960,122.694,0.314,0.148
13:32:31.968,126.425,0.329,0.141
13:32:31.976,127.254,0.341,0.141
13:32:31.984,127.254,0.357,0.148
13:32:31.992,128.083,0.369,0.148
13:32:32.000,129.741,0.38,0.164
13:32:32.008,130.57,0.392,0.164
13:32:32.016,129.741,0.4,0.164
13:32:32.024,128.083,0.408,0.164
