"'Time','II','PLETH','V','ABP','III'"
"'hh:mm:ss.mmm','mV','NU','mV','mmHg','mV'"
"'[01:54:43.000]',-,0.502,-,-,-"
"'[01:54:43.008]',-,0.502,-,-,-"
"'[01:54:43.016]',-,0.502,-,-,-"
"'[01:54:43.024]',-,0.502,-,-,-"
"'[01:54:43.032]',-,0.502,-,-,-"
"'[01:54:43.040]',-,0.502,-,-,-"
"'[01:54:43.048]',-,0.502,-,-,-"
"'[01:54:43.056]',-,0.502,-,-,-"
"'[01:54:43.064]',-,0.502,-,-,-"
"'[01:54:43.072]',-,0.502,-,-,-"
"'[01:54:43.080]',-,0.502,-,-,-"
"'[01:54:43.088]',-,0.502,-,-,-"
"'[01:54:43.096]',-,0.502,-,-,-"
"'[01:54:43.104]',-,0.502,-,-,-"
"'[01:54:43.112]',-,0.502,-,-,-"
"'[01:54:43.120]',-,0.502,-,-,-"
"'[01:54:43.128]',-,0.502,-,-,-"
"'[01:54:43.136]',-,0.502,-,-,-"
"'[01:54:43.144]',-,0.502,-,-,-"
"'[01:54:43.152]',-,0.502,-,-,-"
"'[01:54:43.160]',-,0.502,-,-,-"
"'[01:54:43.168]',-,0.502,-,-,-"
"'[01:54:43.176]',-,0.502,-,-,-"
"'[01:54:43.184]',-,0.502,-,-,-"
"'[01:54:43.192]',-,0.502,-,-,-"
"'[01:54:43.200]',-,0.502,-,-,-"
"'[01:54:43.208]',-,0.502,-,-,-"
"'[01:54:43.216]',-,0.502,-,-,-"
"'[01:54:43.224]',-,0.502,-,-,-"
"'[01:54:43.232]',-,0.502,-,-,-"
"'[01:54:43.240]',-,0.502,-,-,-"
"'[01:54:43.248]',-,0.502,-,-,-"
"'[01:54:43.256]',-,0.502,-,-,-"
"'[01:54:43.264]',-,0.502,-,-,-"
"'[01:54:43.272]',-,0.502,-,-,-"
"'[01:54:43.280]',-,0.502,-,-,-"
"'[01:54:43.288]',-,0.502,-,-,-"
"'[01:54:43.296]',-,0.502,-,-,-"
"'[01:54:43.304]',-,0.502,-,-,-"
"'[01:54:43.312]',-,0.502,-,-,-"
"'[01:54:43.320]',-,0.502,-,-,-"
"'[01:54:43.328]',-,0.502,-,-,-"
"'[01:54:43.336]',-,0.502,-,-,-"
"'[01:54:43.344]',-,0.502,-,-,-"
"'[01:54:43.352]',-,0.502,-,-,-"
"'[01:54:43.360]',-,0.502,-,-,-"
"'[01:54:43.368]',-,0.502,-,-,-"
"'[01:54:43.376]',-,0.502,-,-,-"
"'[01:54:43.384]',-,0.502,-,-,-"
"'[01:54:43.392]',-,0.502,-,-,-"
"'[01:54:43.400]',-,0.502,-,-,-"
"'[01:54:43.408]',-,0.502,-,-,-"
"'[01:54:43.416]',-,0.502,-,-,-"
"'[01:54:43.424]',-,0.502,-,-,-"
"'[01:54:43.432]',-,0.502,-,-,-"
"'[01:54:43.440]',-,0.502,-,-,-"
"'[01:54:43.448]',-,0.502,-,-,-"
"'[01:54:43.456]',-,0.502,-,-,-"
"'[01:54:43.464]',-,0.502,-,-,-"
"'[01:54:43.472]',-,0.502,-,-,-"
"'[01:54:43.480]',-,0.502,-,-,-"
"'[01:54:43.488]',-,0.502,-,-,-"
"'[01:54:43.496]',-,0.502,-,-,-"
"'[01:54:43.504]',-,0.502,-,-,-"
"'[01:54:43.512]',-,0.502,-,-,-"
"'[01:54:43.520]',-,0.502,-,-,-"
"'[01:54:43.528]',-,0.502,-,-,-"
"'[01:54:43.536]',-,0.502,-,-,-"
"'[01:54:43.544]',-,0.502,-,-,-"
"'[01:54:43.552]',-,0.502,-,-,-"
"'[01:54:43.560]',-,0.502,-,-,-"
"'[01:54:43.568]',-,0.502,-,-,-"
"'[01:54:43.576]',-,0.502,-,-,-"
"'[01:54:43.584]',-,0.502,-,-,-"
"'[01:54:43.592]',-,0.502,-,-,-"
"'[01:54:43.600]',-,0.502,-,-,-"
"'[01:54:43.608]',-,0.502,-,-,-"
"'[01:54:43.616]',-,0.502,-,-,-"
"'[01:54:43.624]',-,0.502,-,-,-"
"'[01:54:43.632]',-,0.502,-,-,-"
"'[01:54:43.640]',-,0.502,-,-,-"
"'[01:54:43.648]',-,0.502,-,-,-"
"'[01:54:43.656]',-,0.502,-,-,-"
"'[01:54:43.664]',-,0.502,-,-,-"
"'[01:54:43.672]',-,0.502,-,-,-"
"'[01:54:43.680]',-,0.502,-,-,-"
"'[01:54:43.688]',-,0.502,-,-,-"
"'[01:54:43.696]',-,0.502,-,-,-"
"'[01:54:43.704]',-,0.502,-,-,-"
"'[01:54:43.712]',-,0.502,-,-,-"
"'[01:54:43.720]',-,0.502,-,-,-"
"'[01:54:43.728]',-,0.502,-,-,-"
"'[01:54:43.736]',-,0.502,-,-,-"
"'[01:54:43.744]',-,0.502,-,-,-"
"'[01:54:43.752]',-,0.502,-,-,-"
"'[01:54:43.760]',-,0.502,-,-,-"
"'[01:54:43.768]',-,0.502,-,-,-"
