"'Time','ABP','PLETH','II'"
"'hh:mm:ss.mmm','mmHg','NU','mV'"
"'[17:24:18.000]',-,-,-"
"'[17:24:18.008]',-,-,-"
"'[17:24:18.016]',-,-,-"
"'[17:24:18.024]',-,-,-"
"'[17:24:18.032]',-,-,-"
"'[17:24:18.040]',-,-,-"
"'[17:24:18.048]',-,-,-"
"'[17:24:18.056]',-,-,-"
"'[17:24:18.064]',-,-,-"
"'[17:24:18.072]',-,-,-"
"'[17:24:18.080]',-,-,-"
"'[17:24:18.088]',-,-,-"
"'[17:24:18.096]',-,-,-"
"'[17:24:18.104]',-,-,-"
"'[17:24:18.112]',-,-,-"
"'[17:24:18.120]',-,-,-"
"'[17:24:18.128]',-,-,-"
"'[17:24:18.136]',-,-,-"
"'[17:24:18.144]',-,-,-"
"'[17:24:18.152]',-,-,-"
"'[17:24:18.160]',-,-,-"
"'[17:24:18.168]',-,-,-"
"'[17:24:18.176]',-,-,-"
"'[17:24:18.184]',-,-,-"
"'[17:24:18.192]',-,-,-"
"'[17:24:18.200]',-,-,-"
"'[17:24:18.208]',-,-,-"
"'[17:24:18.216]',-,-,-"
"'[17:24:18.224]',-,-,-"
"'[17:24:18.232]',-,-,-"
"'[17:24:18.240]',-,-,-"
"'[17:24:18.248]',-,-,-"
"'[17:24:18.256]',-,-,-"
"'[17:24:18.264]',-,-,-"
"'[17:24:18.272]',-,-,-"
"'[17:24:18.280]',-,-,-"
"'[17:24:18.288]',-,-,-"
"'[17:24:18.296]',-,-,-"
"'[17:24:18.304]',-,-,-"
"'[17:24:18.312]',-,-,-"
"'[17:24:18.320]',-,-,-"
"'[17:24:18.328]',-,-,-"
"'[17:24:18.336]',-,-,-"
"'[17:24:18.344]',-,-,-"
"'[17:24:18.352]',-,-,-"
"'[17:24:18.360]',-,-,-"
"'[17:24:18.368]',-,-,-"
"'[17:24:18.376]',-,-,-"
"'[17:24:18.384]',-,-,-"
"'[17:24:18.392]',-,-,-"
"'[17:24:18.400]',-,-,-"
"'[17:24:18.408]',-,-,-"
"'[17:24:18.416]',-,-,-"
"'[17:24:18.424]',-,-,-"
"'[17:24:18.432]',-,-,-"
"'[17:24:18.440]',-,-,-"
"'[17:24:18.448]',-,-,-"
"'[17:24:18.456]',-,-,-"
"'[17:24:18.464]',-,-,-"
"'[17:24:18.472]',-,-,-"
"'[17:24:18.480]',-,-,-"
"'[17:24:18.488]',-,-,-"
"'[17:24:18.496]',-,-,-"
"'[17:24:18.504]',-,-,-"
"'[17:24:18.512]',-,-,-"
"'[17:24:18.520]',-,-,-"
"'[17:24:18.528]',-,-,-"
"'[17:24:18.536]',-,-,-"
"'[17:24:18.544]',-,-,-"
"'[17:24:18.552]',-,-,-"
"'[17:24:18.560]',-,-,-"
"'[17:24:18.568]',-,-,-"
"'[17:24:18.576]',-,-,-"
"'[17:24:18.584]',-,-,-"
"'[17:24:18.592]',-,-,-"
"'[17:24:18.600]',-,-,-"
"'[17:24:18.608]',-,-,-"
"'[17:24:18.616]',-,-,-"
"'[17:24:18.624]',-,-,-"
"'[17:24:18.632]',-,-,-"
"'[17:24:18.640]',-,-,-"
"'[17:24:18.648]',-,-,-"
"'[17:24:18.656]',-,-,-"
"'[17:24:18.664]',-,-,-"
"'[17:24:18.672]',-,-,-"
"'[17:24:18.680]',-,-,-"
"'[17:24:18.688]',-,-,-"
"'[17:24:18.696]',-,-,-"
"'[17:24:18.704]',-,-,-"
"'[17:24:18.712]',-,-,-"
"'[17:24:18.720]',-,-,-"
"'[17:24:18.728]',-,-,-"
"'[17:24:18.736]',-,-,-"
"'[17:24:18.744]',-,-,-"
"'[17:24:18.752]',-,-,-"
"'[17:24:18.760]',-,-,-"
"'[17:24:18.768]',-,-,-"
"'[17:24:18.776]',-,-,-"
"'[17:24:18.784]',-,-,-"
"'[17:24:18.792]',-,-,-"
"'[17:24:18.800]',-,-,-"
"'[17:24:18.808]',-,-,-"
"'[17:24:18.816]',-,-,-"
"'[17:24:18.824]',-,-,-"
"'[17:24:18.832]',-,-,-"
"'[17:24:18.840]',-,-,-"
