"'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP','CVP','ART'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'"
"'[15:23:20.528]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.536]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.544]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.552]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.560]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.568]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.576]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.584]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.592]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.600]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.608]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.616]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.624]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.632]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.640]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.648]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.656]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.664]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.672]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.680]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.688]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.696]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.704]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.712]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.720]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.728]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.736]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.744]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.752]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.760]',-,-,-,-,-,-,-,-,-,-,-"
"'[15:23:20.768]',-,-,-,-,-,-,-,-,-,-,-"
