"'Time','I','II','AVR','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'"
"'[16:46:06.024]',-,0.076,0.715,0.820,0.278,0.363,108.344"
"'[16:46:06.032]',-,0.080,0.709,0.830,0.277,0.363,109.713"
"'[16:46:06.040]',-,0.076,0.705,0.820,0.276,0.363,110.496"
"'[16:46:06.048]',-,0.080,0.705,0.834,0.275,0.363,110.887"
"'[16:46:06.056]',-,0.076,0.705,0.820,0.274,0.364,110.887"
"'[16:46:06.064]',-,0.061,0.709,0.820,0.274,0.365,110.300"
"'[16:46:06.072]',-,0.055,0.721,0.811,0.273,0.366,109.322"
"'[16:46:06.080]',-,0.051,0.715,0.820,0.273,0.368,108.149"
"'[16:46:06.088]',-,0.031,0.730,0.805,0.272,0.368,106.780"
"'[16:46:06.096]',-,0.025,0.725,0.799,0.272,0.369,105.411"
"'[16:46:06.104]',-,0.025,0.740,0.785,0.272,0.370,104.042"
"'[16:46:06.112]',-,0.035,0.734,0.799,0.272,0.371,102.282"
"'[16:46:06.120]',-,0.031,0.740,0.811,0.273,0.372,100.522"
"'[16:46:06.128]',-,0.031,0.734,0.820,0.275,0.374,98.566"
"'[16:46:06.136]',-,0.025,0.744,0.830,0.276,0.377,96.415"
"'[16:46:06.144]',-,0.035,0.744,0.824,0.278,0.380,93.872"
"'[16:46:06.152]',-,0.041,0.740,0.844,0.279,0.383,91.525"
"'[16:46:06.160]',-,0.051,0.734,0.834,0.280,0.386,88.788"
"'[16:46:06.168]',-,0.055,0.730,0.844,0.281,0.390,85.854"
"'[16:46:06.176]',-,0.051,0.725,0.834,0.281,0.395,83.116"
"'[16:46:06.184]',-,0.051,0.740,0.850,0.281,0.401,80.183"
"'[16:46:06.192]',-,0.096,0.715,0.844,0.281,0.406,77.640"
"'[16:46:06.200]',-,0.270,0.600,0.766,0.281,0.412,75.293"
"'[16:46:06.208]',-,0.609,0.355,0.475,0.280,0.419,73.338"
"'[16:46:06.216]',-,0.734,0.195,0.186,0.280,0.428,71.578"
"'[16:46:06.224]',-,0.359,0.305,0.086,0.280,0.440,70.209"
"'[16:46:06.232]',-,-0.139,0.520,0.156,0.280,0.451,69.035"
"'[16:46:06.240]',-,-0.424,0.650,0.275,0.279,0.461,67.862"
"'[16:46:06.248]',-,-0.498,0.734,0.436,0.279,0.473,67.275"
"'[16:46:06.256]',-,-0.488,0.770,0.555,0.279,0.486,66.688"
"'[16:46:06.264]',-,-0.408,0.785,0.664,0.278,0.498,66.493"
"'[16:46:06.272]',-,-0.309,0.789,0.744,0.277,0.510,66.493"
"'[16:46:06.280]',-,-0.189,0.805,0.850,0.277,0.522,66.493"
"'[16:46:06.288]',-,-0.084,0.789,0.900,0.275,0.533,66.884"
"'[16:46:06.296]',-,-0.025,0.770,0.930,0.274,0.543,67.275"
"'[16:46:06.304]',-,-0.010,0.766,0.936,0.273,0.551,67.862"
"'[16:46:06.312]',-,0.016,0.760,0.945,0.271,0.558,68.253"
"'[16:46:06.320]',-,0.025,0.744,0.949,0.270,0.563,68.840"
"'[16:46:06.328]',-,0.035,0.744,0.945,0.268,0.567,69.426"
"'[16:46:06.336]',-,0.031,0.740,0.955,0.266,0.569,69.818"
"'[16:46:06.344]',-,0.031,0.740,0.936,0.264,0.569,70.209"
"'[16:46:06.352]',-,0.031,0.744,0.945,0.262,0.570,70.600"
"'[16:46:06.360]',-,0.035,0.734,0.930,0.260,0.570,70.991"
"'[16:46:06.368]',-,0.045,0.734,0.920,0.258,0.570,71.186"
"'[16:46:06.376]',-,0.041,0.730,0.914,0.257,0.569,71.382"
"'[16:46:06.384]',-,0.045,0.734,0.920,0.255,0.568,71.578"
"'[16:46:06.392]',-,0.041,0.730,0.900,0.254,0.565,71.578"
"'[16:46:06.400]',-,0.045,0.734,0.904,0.252,0.563,71.382"
"'[16:46:06.408]',-,0.041,0.734,0.895,0.250,0.561,71.382"
"'[16:46:06.416]',-,0.051,0.734,0.910,0.248,0.559,71.382"
"'[16:46:06.424]',-,0.061,0.725,0.914,0.245,0.557,71.382"
"'[16:46:06.432]',-,0.076,0.721,0.936,0.243,0.555,71.382"
"'[16:46:06.440]',-,0.096,0.715,0.930,0.240,0.553,71.186"
"'[16:46:06.448]',-,0.111,0.705,0.939,0.239,0.549,71.186"
"'[16:46:06.456]',-,0.121,0.689,0.936,0.236,0.544,70.991"
"'[16:46:06.464]',-,0.135,0.680,0.936,0.235,0.539,70.600"
"'[16:46:06.472]',-,0.141,0.670,0.920,0.233,0.531,70.600"
"'[16:46:06.480]',-,0.145,0.670,0.920,0.232,0.524,70.600"
"'[16:46:06.488]',-,0.145,0.654,0.895,0.231,0.518,71.186"
"'[16:46:06.496]',-,0.160,0.641,0.879,0.230,0.513,71.969"
"'[16:46:06.504]',-,0.160,0.635,0.850,0.229,0.508,73.338"
"'[16:46:06.512]',-,0.156,0.629,0.844,0.228,0.505,74.902"
"'[16:46:06.520]',-,0.135,0.641,0.814,0.228,0.501,76.858"
"'[16:46:06.528]',-,0.125,0.645,0.795,0.226,0.499,79.009"
"'[16:46:06.536]',-,0.105,0.650,0.785,0.225,0.496,81.160"
"'[16:46:06.544]',-,0.096,0.654,0.770,0.223,0.493,83.507"
"'[16:46:06.552]',-,0.076,0.670,0.775,0.221,0.491,86.050"
"'[16:46:06.560]',-,0.064,0.670,0.760,0.220,0.488,88.592"
"'[16:46:06.568]',-,0.051,0.689,0.766,0.218,0.487,90.939"
