"'Time','II','AVR','V','RESP','PLETH','ABP','CVP'"
"'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg'"
"'[14:30:55.868]',-,-,-,-,-,-,-"
"'[14:30:55.876]',-,-,-,-,-,-,-"
"'[14:30:55.884]',-,-,-,-,-,-,-"
"'[14:30:55.892]',-,-,-,-,-,-,-"
"'[14:30:55.900]',-,-,-,-,-,-,-"
"'[14:30:55.908]',-,-,-,-,-,-,-"
"'[14:30:55.916]',-,-,-,-,-,-,-"
"'[14:30:55.924]',-,-,-,-,-,-,-"
"'[14:30:55.932]',-,-,-,-,-,-,-"
"'[14:30:55.940]',-,-,-,-,-,-,-"
"'[14:30:55.948]',-,-,-,-,-,-,-"
"'[14:30:55.956]',-,-,-,-,-,-,-"
"'[14:30:55.964]',-,-,-,-,-,-,-"
"'[14:30:55.972]',-,-,-,-,-,-,-"
"'[14:30:55.980]',-,-,-,-,-,-,-"
"'[14:30:55.988]',-,-,-,-,-,-,-"
"'[14:30:55.996]',-,-,-,-,-,-,-"
"'[14:30:56.004]',-,-,-,-,-,-,-"
"'[14:30:56.012]',-,-,-,-,-,-,-"
"'[14:30:56.020]',-,-,-,-,-,-,-"
"'[14:30:56.028]',-,-,-,-,-,-,-"
"'[14:30:56.036]',-,-,-,-,-,-,-"
"'[14:30:56.044]',-,-,-,-,-,-,-"
"'[14:30:56.052]',-,-,-,-,-,-,-"
"'[14:30:56.060]',-,-,-,-,-,-,-"
"'[14:30:56.068]',-,-,-,-,-,-,-"
"'[14:30:56.076]',-,-,-,-,-,-,-"
"'[14:30:56.084]',-,-,-,-,-,-,-"
"'[14:30:56.092]',-,-,-,-,-,-,-"
"'[14:30:56.100]',-,-,-,-,-,-,-"
"'[14:30:56.108]',-,-,-,-,-,-,-"
"'[14:30:56.116]',-,-,-,-,-,-,-"
"'[14:30:56.124]',-,-,-,-,-,-,-"
"'[14:30:56.132]',-,-,-,-,-,-,-"
"'[14:30:56.140]',-,-,-,-,-,-,-"
"'[14:30:56.148]',-,-,-,-,-,-,-"
"'[14:30:56.156]',-,-,-,-,-,-,-"
"'[14:30:56.164]',-,-,-,-,-,-,-"
"'[14:30:56.172]',-,-,-,-,-,-,-"
"'[14:30:56.180]',-,-,-,-,-,-,-"
"'[14:30:56.188]',-,-,-,-,-,-,-"
"'[14:30:56.196]',-,-,-,-,-,-,-"
"'[14:30:56.204]',-,-,-,-,-,-,-"
"'[14:30:56.212]',-,-,-,-,-,-,-"
"'[14:30:56.220]',-,-,-,-,-,-,-"
"'[14:30:56.228]',-,-,-,-,-,-,-"
"'[14:30:56.236]',-,-,-,-,-,-,-"
"'[14:30:56.244]',-,-,-,-,-,-,-"
"'[14:30:56.252]',-,-,-,-,-,-,-"
"'[14:30:56.260]',-,-,-,-,-,-,-"
"'[14:30:56.268]',-,-,-,-,-,-,-"
"'[14:30:56.276]',-,-,-,-,-,-,-"
"'[14:30:56.284]',-,-,-,-,-,-,-"
"'[14:30:56.292]',-,-,-,-,-,-,-"
"'[14:30:56.300]',-,-,-,-,-,-,-"
"'[14:30:56.308]',-,-,-,-,-,-,-"
"'[14:30:56.316]',-,-,-,-,-,-,-"
"'[14:30:56.324]',-,-,-,-,-,-,-"
"'[14:30:56.332]',-,-,-,-,-,-,-"
"'[14:30:56.340]',-,-,-,-,-,-,-"
"'[14:30:56.348]',-,-,-,-,-,-,-"
"'[14:30:56.356]',-,-,-,-,-,-,-"
"'[14:30:56.364]',-,-,-,-,-,-,-"
"'[14:30:56.372]',-,-,-,-,-,-,-"
"'[14:30:56.380]',-,-,-,-,-,-,-"
"'[14:30:56.388]',-,-,-,-,-,-,-"
"'[14:30:56.396]',-,-,-,-,-,-,-"
"'[14:30:56.404]',-,-,-,-,-,-,-"
"'[14:30:56.412]',-,-,-,-,-,-,-"
"'[14:30:56.420]',-,-,-,-,-,-,-"
"'[14:30:56.428]',-,-,-,-,-,-,-"
"'[14:30:56.436]',-,-,-,-,-,-,-"
"'[14:30:56.444]',-,-,-,-,-,-,-"
"'[14:30:56.452]',-,-,-,-,-,-,-"
"'[14:30:56.460]',-,-,-,-,-,-,-"
"'[14:30:56.468]',-,-,-,-,-,-,-"
"'[14:30:56.476]',-,-,-,-,-,-,-"
"'[14:30:56.484]',-,-,-,-,-,-,-"
"'[14:30:56.492]',-,-,-,-,-,-,-"
"'[14:30:56.500]',-,-,-,-,-,-,-"
"'[14:30:56.508]',-,-,-,-,-,-,-"
"'[14:30:56.516]',-,-,-,-,-,-,-"
"'[14:30:56.524]',-,-,-,-,-,-,-"
"'[14:30:56.532]',-,-,-,-,-,-,-"
"'[14:30:56.540]',-,-,-,-,-,-,-"
"'[14:30:56.548]',-,-,-,-,-,-,-"
"'[14:30:56.556]',-,-,-,-,-,-,-"
"'[14:30:56.564]',-,-,-,-,-,-,-"
"'[14:30:56.572]',-,-,-,-,-,-,-"
"'[14:30:56.580]',-,-,-,-,-,-,-"
"'[14:30:56.588]',-,-,-,-,-,-,-"
"'[14:30:56.596]',-,-,-,-,-,-,-"
"'[14:30:56.604]',-,-,-,-,-,-,-"
"'[14:30:56.612]',-,-,-,-,-,-,-"
"'[14:30:56.620]',-,-,-,-,-,-,-"
"'[14:30:56.628]',-,-,-,-,-,-,-"
"'[14:30:56.636]',-,-,-,-,-,-,-"
"'[14:30:56.644]',-,-,-,-,-,-,-"
"'[14:30:56.652]',-,-,-,-,-,-,-"
"'[14:30:56.660]',-,-,-,-,-,-,-"
"'[14:30:56.668]',-,-,-,-,-,-,-"
"'[14:30:56.676]',-,-,-,-,-,-,-"
"'[14:30:56.684]',-,-,-,-,-,-,-"
"'[14:30:56.692]',-,-,-,-,-,-,-"
"'[14:30:56.700]',-,-,-,-,-,-,-"
"'[14:30:56.708]',-,-,-,-,-,-,-"
"'[14:30:56.716]',-,-,-,-,-,-,-"
"'[14:30:56.724]',-,-,-,-,-,-,-"
"'[14:30:56.732]',-,-,-,-,-,-,-"
"'[14:30:56.740]',-,-,-,-,-,-,-"
"'[14:30:56.748]',-,-,-,-,-,-,-"
"'[14:30:56.756]',-,-,-,-,-,-,-"
"'[14:30:56.764]',-,-,-,-,-,-,-"
"'[14:30:56.772]',-,-,-,-,-,-,-"
"'[14:30:56.780]',-,-,-,-,-,-,-"
"'[14:30:56.788]',-,-,-,-,-,-,-"
"'[14:30:56.796]',-,-,-,-,-,-,-"
"'[14:30:56.804]',-,-,-,-,-,-,-"
"'[14:30:56.812]',-,-,-,-,-,-,-"
"'[14:30:56.820]',-,-,-,-,-,-,-"
"'[14:30:56.828]',-,-,-,-,-,-,-"
"'[14:30:56.836]',-,-,-,-,-,-,-"
"'[14:30:56.844]',-,-,-,-,-,-,-"
"'[14:30:56.852]',-,-,-,-,-,-,-"
"'[14:30:56.860]',-,-,-,-,-,-,-"
"'[14:30:56.868]',-,-,-,-,-,-,-"
"'[14:30:56.876]',-,-,-,-,-,-,-"
"'[14:30:56.884]',-,-,-,-,-,-,-"
"'[14:30:56.892]',-,-,-,-,-,-,-"
"'[14:30:56.900]',-,-,-,-,-,-,-"
"'[14:30:56.908]',-,-,-,-,-,-,-"
"'[14:30:56.916]',-,-,-,-,-,-,-"
"'[14:30:56.924]',-,-,-,-,-,-,-"
"'[14:30:56.932]',-,-,-,-,-,-,-"
"'[14:30:56.940]',-,-,-,-,-,-,-"
"'[14:30:56.948]',-,-,-,-,-,-,-"
"'[14:30:56.956]',-,-,-,-,-,-,-"
"'[14:30:56.964]',-,-,-,-,-,-,-"
"'[14:30:56.972]',-,-,-,-,-,-,-"
"'[14:30:56.980]',-,-,-,-,-,-,-"
"'[14:30:56.988]',-,-,-,-,-,-,-"
"'[14:30:56.996]',-,-,-,-,-,-,-"
"'[14:30:57.004]',-,-,-,-,-,-,-"
"'[14:30:57.012]',-,-,-,-,-,-,-"
"'[14:30:57.020]',-,-,-,-,-,-,-"
"'[14:30:57.028]',-,-,-,-,-,-,-"
"'[14:30:57.036]',-,-,-,-,-,-,-"
"'[14:30:57.044]',-,-,-,-,-,-,-"
"'[14:30:57.052]',-,-,-,-,-,-,-"
"'[14:30:57.060]',-,-,-,-,-,-,-"
"'[14:30:57.068]',-,-,-,-,-,-,-"
"'[14:30:57.076]',-,-,-,-,-,-,-"
"'[14:30:57.084]',-,-,-,-,-,-,-"
"'[14:30:57.092]',-,-,-,-,-,-,-"
"'[14:30:57.100]',-,-,-,-,-,-,-"
"'[14:30:57.108]',-,-,-,-,-,-,-"
"'[14:30:57.116]',-,-,-,-,-,-,-"
"'[14:30:57.124]',-,-,-,-,-,-,-"
"'[14:30:57.132]',-,-,-,-,-,-,-"
"'[14:30:57.140]',-,-,-,-,-,-,-"
"'[14:30:57.148]',-,-,-,-,-,-,-"
"'[14:30:57.156]',-,-,-,-,-,-,-"
"'[14:30:57.164]',-,-,-,-,-,-,-"
"'[14:30:57.172]',-,-,-,-,-,-,-"
"'[14:30:57.180]',-,-,-,-,-,-,-"
"'[14:30:57.188]',-,-,-,-,-,-,-"
"'[14:30:57.196]',-,-,-,-,-,-,-"
"'[14:30:57.204]',-,-,-,-,-,-,-"
"'[14:30:57.212]',-,-,-,-,-,-,-"
"'[14:30:57.220]',-,-,-,-,-,-,-"
"'[14:30:57.228]',-,-,-,-,-,-,-"
"'[14:30:57.236]',-,-,-,-,-,-,-"
"'[14:30:57.244]',-,-,-,-,-,-,-"
"'[14:30:57.252]',-,-,-,-,-,-,-"
"'[14:30:57.260]',-,-,-,-,-,-,-"
"'[14:30:57.268]',-,-,-,-,-,-,-"
"'[14:30:57.276]',-,-,-,-,-,-,-"
"'[14:30:57.284]',-,-,-,-,-,-,-"
"'[14:30:57.292]',-,-,-,-,-,-,-"
"'[14:30:57.300]',-,-,-,-,-,-,-"
"'[14:30:57.308]',-,-,-,-,-,-,-"
"'[14:30:57.316]',-,-,-,-,-,-,-"
"'[14:30:57.324]',-,-,-,-,-,-,-"
"'[14:30:57.332]',-,-,-,-,-,-,-"
"'[14:30:57.340]',-,-,-,-,-,-,-"
"'[14:30:57.348]',-,-,-,-,-,-,-"
"'[14:30:57.356]',-,-,-,-,-,-,-"
"'[14:30:57.364]',-,-,-,-,-,-,-"
"'[14:30:57.372]',-,-,-,-,-,-,-"
"'[14:30:57.380]',-,-,-,-,-,-,-"
"'[14:30:57.388]',-,-,-,-,-,-,-"
"'[14:30:57.396]',-,-,-,-,-,-,-"
"'[14:30:57.404]',-,-,-,-,-,-,-"
"'[14:30:57.412]',-,-,-,-,-,-,-"
"'[14:30:57.420]',-,-,-,-,-,-,-"
"'[14:30:57.428]',-,-,-,-,-,-,-"
"'[14:30:57.436]',-,-,-,-,-,-,-"
"'[14:30:57.444]',-,-,-,-,-,-,-"
"'[14:30:57.452]',-,-,-,-,-,-,-"
"'[14:30:57.460]',-,-,-,-,-,-,-"
"'[14:30:57.468]',-,-,-,-,-,-,-"
"'[14:30:57.476]',-,-,-,-,-,-,-"
"'[14:30:57.484]',-,-,-,-,-,-,-"
"'[14:30:57.492]',-,-,-,-,-,-,-"
"'[14:30:57.500]',-,-,-,-,-,-,-"
"'[14:30:57.508]',-,-,-,-,-,-,-"
"'[14:30:57.516]',-,-,-,-,-,-,-"
"'[14:30:57.524]',-,-,-,-,-,-,-"
"'[14:30:57.532]',-,-,-,-,-,-,-"
"'[14:30:57.540]',-,-,-,-,-,-,-"
"'[14:30:57.548]',-,-,-,-,-,-,-"
"'[14:30:57.556]',-,-,-,-,-,-,-"
"'[14:30:57.564]',-,-,-,-,-,-,-"
"'[14:30:57.572]',-,-,-,-,-,-,-"
"'[14:30:57.580]',-,-,-,-,-,-,-"
"'[14:30:57.588]',-,-,-,-,-,-,-"
"'[14:30:57.596]',-,-,-,-,-,-,-"
"'[14:30:57.604]',-,-,-,-,-,-,-"
"'[14:30:57.612]',-,-,-,-,-,-,-"
"'[14:30:57.620]',-,-,-,-,-,-,-"
"'[14:30:57.628]',-,-,-,-,-,-,-"
"'[14:30:57.636]',-,-,-,-,-,-,-"
"'[14:30:57.644]',-,-,-,-,-,-,-"
"'[14:30:57.652]',-,-,-,-,-,-,-"
"'[14:30:57.660]',-,-,-,-,-,-,-"
"'[14:30:57.668]',-,-,-,-,-,-,-"
"'[14:30:57.676]',-,-,-,-,-,-,-"
"'[14:30:57.684]',-,-,-,-,-,-,-"
"'[14:30:57.692]',-,-,-,-,-,-,-"
"'[14:30:57.700]',-,-,-,-,-,-,-"
"'[14:30:57.708]',-,-,-,-,-,-,-"
"'[14:30:57.716]',-,-,-,-,-,-,-"
"'[14:30:57.724]',-,-,-,-,-,-,-"
"'[14:30:57.732]',-,-,-,-,-,-,-"
"'[14:30:57.740]',-,-,-,-,-,-,-"
"'[14:30:57.748]',-,-,-,-,-,-,-"
"'[14:30:57.756]',-,-,-,-,-,-,-"
"'[14:30:57.764]',-,-,-,-,-,-,-"
"'[14:30:57.772]',-,-,-,-,-,-,-"
"'[14:30:57.780]',-,-,-,-,-,-,-"
"'[14:30:57.788]',-,-,-,-,-,-,-"
"'[14:30:57.796]',-,-,-,-,-,-,-"
"'[14:30:57.804]',-,-,-,-,-,-,-"
"'[14:30:57.812]',-,-,-,-,-,-,-"
"'[14:30:57.820]',-,-,-,-,-,-,-"
"'[14:30:57.828]',-,-,-,-,-,-,-"
"'[14:30:57.836]',-,-,-,-,-,-,-"
"'[14:30:57.844]',-,-,-,-,-,-,-"
"'[14:30:57.852]',-,-,-,-,-,-,-"
"'[14:30:57.860]',-,-,-,-,-,-,-"
"'[14:30:57.868]',-,-,-,-,-,-,-"
"'[14:30:57.876]',-,-,-,-,-,-,-"
"'[14:30:57.884]',-,-,-,-,-,-,-"
"'[14:30:57.892]',-,-,-,-,-,-,-"
"'[14:30:57.900]',-,-,-,-,-,-,-"
