"'Time','I','II','III','AVR','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','mV','pm','NU','mmHg'"
"'[01:49:50.566]',-,-,-,-,-,-,-,-"
"'[01:49:50.574]',-,-,-,-,-,-,-,-"
"'[01:49:50.582]',-,-,-,-,-,-,-,-"
"'[01:49:50.590]',-,-,-,-,-,-,-,-"
"'[01:49:50.598]',-,-,-,-,-,-,-,-"
"'[01:49:50.606]',-,-,-,-,-,-,-,-"
"'[01:49:50.614]',-,-,-,-,-,-,-,-"
"'[01:49:50.622]',-,-,-,-,-,-,-,-"
"'[01:49:50.630]',-,-,-,-,-,-,-,-"
"'[01:49:50.638]',-,-,-,-,-,-,-,-"
"'[01:49:50.646]',-,-,-,-,-,-,-,-"
"'[01:49:50.654]',-,-,-,-,-,-,-,-"
"'[01:49:50.662]',-,-,-,-,-,-,-,-"
"'[01:49:50.670]',-,-,-,-,-,-,-,-"
"'[01:49:50.678]',-,-,-,-,-,-,-,-"
"'[01:49:50.686]',-,-,-,-,-,-,-,-"
"'[01:49:50.694]',-,-,-,-,-,-,-,-"
"'[01:49:50.702]',-,-,-,-,-,-,-,-"
"'[01:49:50.710]',-,-,-,-,-,-,-,-"
"'[01:49:50.718]',-,-,-,-,-,-,-,-"
"'[01:49:50.726]',-,-,-,-,-,-,-,-"
"'[01:49:50.734]',-,-,-,-,-,-,-,-"
"'[01:49:50.742]',-,-,-,-,-,-,-,-"
"'[01:49:50.750]',-,-,-,-,-,-,-,-"
"'[01:49:50.758]',-,-,-,-,-,-,-,-"
"'[01:49:50.766]',-,-,-,-,-,-,-,-"
"'[01:49:50.774]',-,-,-,-,-,-,-,-"
"'[01:49:50.782]',-,-,-,-,-,-,-,-"
"'[01:49:50.790]',-,-,-,-,-,-,-,-"
"'[01:49:50.798]',-,-,-,-,-,-,-,-"
"'[01:49:50.806]',-,-,-,-,-,-,-,-"
"'[01:49:50.814]',-,-,-,-,-,-,-,-"
"'[01:49:50.822]',-,-,-,-,-,-,-,-"
"'[01:49:50.830]',-,-,-,-,-,-,-,-"
"'[01:49:50.838]',-,-,-,-,-,-,-,-"
"'[01:49:50.846]',-,-,-,-,-,-,-,-"
"'[01:49:50.854]',-,-,-,-,-,-,-,-"
"'[01:49:50.862]',-,-,-,-,-,-,-,-"
"'[01:49:50.870]',-,-,-,-,-,-,-,-"
"'[01:49:50.878]',-,-,-,-,-,-,-,-"
"'[01:49:50.886]',-,-,-,-,-,-,-,-"
"'[01:49:50.894]',-,-,-,-,-,-,-,-"
"'[01:49:50.902]',-,-,-,-,-,-,-,-"
"'[01:49:50.910]',-,-,-,-,-,-,-,-"
"'[01:49:50.918]',-,-,-,-,-,-,-,-"
"'[01:49:50.926]',-,-,-,-,-,-,-,-"
"'[01:49:50.934]',-,-,-,-,-,-,-,-"
"'[01:49:50.942]',-,-,-,-,-,-,-,-"
"'[01:49:50.950]',-,-,-,-,-,-,-,-"
"'[01:49:50.958]',-,-,-,-,-,-,-,-"
"'[01:49:50.966]',-,-,-,-,-,-,-,-"
"'[01:49:50.974]',-,-,-,-,-,-,-,-"
"'[01:49:50.982]',-,-,-,-,-,-,-,-"
"'[01:49:50.990]',-,-,-,-,-,-,-,-"
"'[01:49:50.998]',-,-,-,-,-,-,-,-"
"'[01:49:51.006]',-,-,-,-,-,-,-,-"
"'[01:49:51.014]',-,-,-,-,-,-,-,-"
"'[01:49:51.022]',-,-,-,-,-,-,-,-"
"'[01:49:51.030]',-,-,-,-,-,-,-,-"
"'[01:49:51.038]',-,-,-,-,-,-,-,-"
"'[01:49:51.046]',-,-,-,-,-,-,-,-"
"'[01:49:51.054]',-,-,-,-,-,-,-,-"
"'[01:49:51.062]',-,-,-,-,-,-,-,-"
"'[01:49:51.070]',-,-,-,-,-,-,-,-"
"'[01:49:51.078]',-,-,-,-,-,-,-,-"
"'[01:49:51.086]',-,-,-,-,-,-,-,-"
"'[01:49:51.094]',-,-,-,-,-,-,-,-"
"'[01:49:51.102]',-,-,-,-,-,-,-,-"
"'[01:49:51.110]',-,-,-,-,-,-,-,-"
"'[01:49:51.118]',-,-,-,-,-,-,-,-"
"'[01:49:51.126]',-,-,-,-,-,-,-,-"
"'[01:49:51.134]',-,-,-,-,-,-,-,-"
"'[01:49:51.142]',-,-,-,-,-,-,-,-"
"'[01:49:51.150]',-,-,-,-,-,-,-,-"
"'[01:49:51.158]',-,-,-,-,-,-,-,-"
"'[01:49:51.166]',-,-,-,-,-,-,-,-"
"'[01:49:51.174]',-,-,-,-,-,-,-,-"
"'[01:49:51.182]',-,-,-,-,-,-,-,-"
"'[01:49:51.190]',-,-,-,-,-,-,-,-"
"'[01:49:51.198]',-,-,-,-,-,-,-,-"
"'[01:49:51.206]',-,-,-,-,-,-,-,-"
"'[01:49:51.214]',-,-,-,-,-,-,-,-"
"'[01:49:51.222]',-,-,-,-,-,-,-,-"
"'[01:49:51.230]',-,-,-,-,-,-,-,-"
"'[01:49:51.238]',-,-,-,-,-,-,-,-"
"'[01:49:51.246]',-,-,-,-,-,-,-,-"
"'[01:49:51.254]',-,-,-,-,-,-,-,-"
"'[01:49:51.262]',-,-,-,-,-,-,-,-"
"'[01:49:51.270]',-,-,-,-,-,-,-,-"
"'[01:49:51.278]',-,-,-,-,-,-,-,-"
"'[01:49:51.286]',-,-,-,-,-,-,-,-"
"'[01:49:51.294]',-,-,-,-,-,-,-,-"
"'[01:49:51.302]',-,-,-,-,-,-,-,-"
"'[01:49:51.310]',-,-,-,-,-,-,-,-"
"'[01:49:51.318]',-,-,-,-,-,-,-,-"
"'[01:49:51.326]',-,-,-,-,-,-,-,-"
"'[01:49:51.334]',-,-,-,-,-,-,-,-"
"'[01:49:51.342]',-,-,-,-,-,-,-,-"
"'[01:49:51.350]',-,-,-,-,-,-,-,-"
"'[01:49:51.358]',-,-,-,-,-,-,-,-"
"'[01:49:51.366]',-,-,-,-,-,-,-,-"
"'[01:49:51.374]',-,-,-,-,-,-,-,-"
"'[01:49:51.382]',-,-,-,-,-,-,-,-"
"'[01:49:51.390]',-,-,-,-,-,-,-,-"
"'[01:49:51.398]',-,-,-,-,-,-,-,-"
"'[01:49:51.406]',-,-,-,-,-,-,-,-"
