'Time','II','PLETH','ABP','III','I'
'hh:mm:ss.mmm','mV','NU','mmHg','mV','mV'
'[19:54:47.000]',0.394,0.639,93.679,-,-
'[19:54:47.008]',0.386,0.643,93.057,-,-
'[19:54:47.016]',0.378,0.643,92.228,-,-
'[19:54:47.024]',0.370,0.647,91.399,-,-
'[19:54:47.032]',0.370,0.647,91.399,-,-
'[19:54:47.040]',0.386,0.651,90.570,-,-
'[19:54:47.048]',0.362,0.651,90.570,-,-
'[19:54:47.056]',0.339,0.655,89.741,-,-
'[19:54:47.064]',0.323,0.655,89.741,-,-
'[19:54:47.072]',0.315,0.651,89.119,-,-
'[19:54:47.080]',0.315,0.651,88.290,-,-
'[19:54:47.088]',0.315,0.647,87.461,-,-
'[19:54:47.096]',0.323,0.643,86.632,-,-
'[19:54:47.104]',0.315,0.639,86.632,-,-
'[19:54:47.112]',0.299,0.631,86.010,-,-
'[19:54:47.120]',0.291,0.627,86.010,-,-
'[19:54:47.128]',0.299,0.624,85.181,-,-
'[19:54:47.136]',0.346,0.616,85.181,-,-
'[19:54:47.144]',0.496,0.612,84.352,-,-
'[19:54:47.152]',0.780,0.612,83.523,-,-
'[19:54:47.160]',1.016,0.604,83.523,-,-
'[19:54:47.168]',0.890,0.600,82.902,-,-
'[19:54:47.176]',0.402,0.596,82.073,-,-
'[19:54:47.184]',-0.071,0.588,81.244,-,-
'[19:54:47.192]',-0.260,0.580,81.244,-,-
'[19:54:47.200]',-0.197,0.573,80.415,-,-
'[19:54:47.208]',-0.031,0.565,80.415,-,-
'[19:54:47.216]',0.118,0.557,80.415,-,-
'[19:54:47.224]',0.228,0.553,80.415,-,-
'[19:54:47.232]',0.260,0.545,81.244,-,-
'[19:54:47.240]',0.260,0.541,81.244,-,-
'[19:54:47.248]',0.276,0.537,81.244,-,-
'[19:54:47.256]',0.276,0.533,81.244,-,-
'[19:54:47.264]',0.268,0.529,81.244,-,-
'[19:54:47.272]',0.291,0.525,81.244,-,-
'[19:54:47.280]',0.323,0.522,81.244,-,-
'[19:54:47.288]',0.346,0.514,80.415,-,-
'[19:54:47.296]',0.362,0.510,80.415,-,-
'[19:54:47.304]',0.362,0.502,79.585,-,-
'[19:54:47.312]',0.346,0.494,79.585,-,-
'[19:54:47.320]',0.323,0.486,78.964,-,-
'[19:54:47.328]',0.299,0.478,78.135,-,-
'[19:54:47.336]',0.276,0.475,77.306,-,-
'[19:54:47.344]',0.252,0.471,75.855,-,-
'[19:54:47.352]',0.244,0.463,75.026,-,-
'[19:54:47.360]',0.276,0.459,74.197,-,-
'[19:54:47.368]',0.299,0.455,74.197,-,-
'[19:54:47.376]',0.323,0.451,73.368,-,-
'[19:54:47.384]',0.362,0.451,73.368,-,-
'[19:54:47.392]',0.386,0.447,74.197,-,-
'[19:54:47.400]',0.378,0.443,76.477,-,-
'[19:54:47.408]',0.346,0.439,79.585,-,-
'[19:54:47.416]',0.323,0.435,85.181,-,-
'[19:54:47.424]',0.315,0.435,93.057,-,-
'[19:54:47.432]',0.315,0.431,102.383,-,-
'[19:54:47.440]',0.323,0.427,111.710,-,-
'[19:54:47.448]',0.331,0.424,119.585,-,-
'[19:54:47.456]',0.331,0.420,126.632,-,-
'[19:54:47.464]',0.354,0.416,130.570,-,-
'[19:54:47.472]',0.386,0.412,132.021,-,-
'[19:54:47.480]',0.394,0.408,132.021,-,-
'[19:54:47.488]',0.370,0.408,132.850,-,-
'[19:54:47.496]',0.346,0.404,134.301,-,-
'[19:54:47.504]',0.323,0.404,136.788,-,-
'[19:54:47.512]',0.315,0.400,139.896,-,-
'[19:54:47.520]',0.331,0.400,144.456,-,-
'[19:54:47.528]',0.346,0.400,147.565,-,-
'[19:54:47.536]',0.354,0.400,150.881,-,-
'[19:54:47.544]',0.362,0.396,152.332,-,-
'[19:54:47.552]',0.386,0.396,153.161,-,-
'[19:54:47.560]',0.386,0.396,153.161,-,-
'[19:54:47.568]',0.370,0.392,153.161,-,-
'[19:54:47.576]',0.346,0.392,152.332,-,-
'[19:54:47.584]',0.339,0.388,152.332,-,-
'[19:54:47.592]',0.331,0.388,151.503,-,-
'[19:54:47.600]',0.331,0.384,152.332,-,-
'[19:54:47.608]',0.354,0.384,152.332,-,-
'[19:54:47.616]',0.402,0.380,152.332,-,-
'[19:54:47.624]',0.457,0.380,152.332,-,-
'[19:54:47.632]',0.472,0.376,152.332,-,-
'[19:54:47.640]',0.417,0.376,151.503,-,-
'[19:54:47.648]',0.402,0.373,150.881,-,-
'[19:54:47.656]',0.425,0.373,150.052,-,-
'[19:54:47.664]',0.449,0.369,149.223,-,-
'[19:54:47.672]',0.465,0.369,147.565,-,-
'[19:54:47.680]',0.441,0.369,146.943,-,-
'[19:54:47.688]',0.394,0.369,145.285,-,-
'[19:54:47.696]',0.346,0.369,143.834,-,-
'[19:54:47.704]',0.331,0.373,142.176,-,-
'[19:54:47.712]',0.339,0.376,139.896,-,-
'[19:54:47.720]',0.354,0.384,138.238,-,-
'[19:54:47.728]',0.362,0.392,135.959,-,-
'[19:54:47.736]',0.331,0.400,132.850,-,-
'[19:54:47.744]',0.291,0.408,129.741,-,-
'[19:54:47.752]',0.276,0.416,125.803,-,-
'[19:54:47.760]',0.276,0.427,121.036,-,-
'[19:54:47.768]',0.283,0.439,117.098,-,-
'[19:54:47.776]',0.283,0.451,112.539,-,-
'[19:54:47.784]',0.307,0.463,109.430,-,-
'[19:54:47.792]',0.362,0.475,106.943,-,-
'[19:54:47.800]',0.465,0.486,105.492,-,-
'[19:54:47.808]',0.685,0.494,104.663,-,-
'[19:54:47.816]',0.874,0.502,105.492,-,-
'[19:54:47.824]',0.717,0.510,105.492,-,-
'[19:54:47.832]',0.268,0.522,106.321,-,-
'[19:54:47.840]',-0.118,0.529,105.492,-,-
'[19:54:47.848]',-0.244,0.537,105.492,-,-
'[19:54:47.856]',-0.173,0.545,104.663,-,-
'[19:54:47.864]',-0.016,0.557,103.834,-,-
'[19:54:47.872]',0.134,0.565,103.212,-,-
'[19:54:47.880]',0.228,0.573,101.554,-,-
'[19:54:47.888]',0.291,0.584,100.725,-,-
'[19:54:47.896]',0.346,0.592,100.104,-,-
'[19:54:47.904]',0.378,0.600,100.104,-,-
'[19:54:47.912]',0.386,0.604,99.275,-,-
'[19:54:47.920]',0.346,0.612,98.446,-,-
'[19:54:47.928]',0.315,0.616,97.617,-,-
'[19:54:47.936]',0.291,0.620,96.788,-,-
'[19:54:47.944]',0.276,0.627,96.166,-,-
'[19:54:47.952]',0.291,0.627,95.337,-,-
'[19:54:47.960]',0.307,0.631,94.508,-,-
'[19:54:47.968]',0.323,0.635,93.057,-,-
'[19:54:47.976]',0.339,0.631,92.228,-,-
'[19:54:47.984]',0.331,0.631,91.399,-,-
'[19:54:47.992]',0.331,0.631,90.570,-,-
'[19:54:48.000]',0.331,0.627,89.741,-,-
'[19:54:48.008]',0.339,0.624,89.741,-,-
'[19:54:48.016]',0.346,0.624,89.119,-,-
'[19:54:48.024]',0.323,0.620,88.290,-,-
'[19:54:48.032]',0.331,0.616,88.290,-,-
'[19:54:48.040]',0.331,0.612,87.461,-,-
'[19:54:48.048]',0.346,0.608,87.461,-,-
'[19:54:48.056]',0.362,0.604,87.461,-,-
'[19:54:48.064]',0.370,0.600,88.290,-,-
'[19:54:48.072]',0.370,0.592,89.741,-,-
'[19:54:48.080]',0.362,0.588,93.057,-,-
'[19:54:48.088]',0.362,0.580,98.446,-,-
'[19:54:48.096]',0.354,0.573,105.492,-,-
'[19:54:48.104]',0.346,0.565,113.368,-,-
'[19:54:48.112]',0.346,0.561,121.865,-,-
'[19:54:48.120]',0.346,0.557,128.083,-,-
'[19:54:48.128]',0.346,0.549,132.850,-,-
'[19:54:48.136]',0.331,0.545,135.130,-,-
'[19:54:48.144]',0.339,0.541,135.959,-,-
'[19:54:48.152]',0.362,0.537,135.130,-,-
'[19:54:48.160]',0.346,0.533,135.130,-,-
'[19:54:48.168]',0.315,0.525,135.959,-,-
'[19:54:48.176]',0.291,0.522,136.788,-,-
'[19:54:48.184]',0.283,0.518,138.238,-,-
'[19:54:48.192]',0.307,0.510,139.896,-,-
'[19:54:48.200]',0.331,0.506,140.725,-,-
'[19:54:48.208]',0.362,0.502,141.347,-,-
'[19:54:48.216]',0.386,0.498,140.725,-,-
'[19:54:48.224]',0.402,0.490,139.896,-,-
'[19:54:48.232]',0.425,0.486,138.238,-,-
'[19:54:48.240]',0.433,0.478,136.788,-,-
'[19:54:48.248]',0.417,0.475,135.130,-,-
'[19:54:48.256]',0.386,0.471,133.679,-,-
'[19:54:48.264]',0.386,0.463,132.021,-,-
'[19:54:48.272]',0.386,0.459,130.570,-,-
'[19:54:48.280]',0.386,0.459,128.912,-,-
'[19:54:48.288]',0.402,0.455,127.254,-,-
'[19:54:48.296]',0.402,0.451,124.974,-,-
'[19:54:48.304]',0.417,0.451,122.694,-,-
'[19:54:48.312]',0.425,0.447,120.415,-,-
'[19:54:48.320]',0.433,0.443,117.098,-,-
'[19:54:48.328]',0.425,0.439,113.990,-,-
'[19:54:48.336]',0.433,0.435,110.881,-,-
'[19:54:48.344]',0.425,0.435,107.772,-,-
'[19:54:48.352]',0.417,0.431,104.663,-,-
'[19:54:48.360]',0.433,0.431,102.383,-,-
'[19:54:48.368]',0.441,0.431,100.104,-,-
'[19:54:48.376]',0.433,0.435,99.275,-,-
'[19:54:48.384]',0.402,0.439,98.446,-,-
'[19:54:48.392]',0.378,0.443,98.446,-,-
'[19:54:48.400]',0.370,0.451,98.446,-,-
'[19:54:48.408]',0.354,0.455,98.446,-,-
'[19:54:48.416]',0.323,0.459,98.446,-,-
'[19:54:48.424]',0.307,0.467,97.617,-,-
'[19:54:48.432]',0.323,0.475,96.788,-,-
'[19:54:48.440]',0.354,0.482,96.166,-,-
'[19:54:48.448]',0.370,0.486,95.337,-,-
'[19:54:48.456]',0.386,0.494,94.508,-,-
'[19:54:48.464]',0.402,0.502,93.679,-,-
'[19:54:48.472]',0.394,0.510,93.679,-,-
'[19:54:48.480]',0.386,0.518,93.679,-,-
'[19:54:48.488]',0.378,0.525,93.679,-,-
'[19:54:48.496]',0.362,0.533,93.679,-,-
'[19:54:48.504]',0.339,0.537,93.057,-,-
'[19:54:48.512]',0.339,0.541,93.057,-,-
'[19:54:48.520]',0.346,0.541,92.228,-,-
'[19:54:48.528]',0.331,0.541,91.399,-,-
'[19:54:48.536]',0.299,0.541,90.570,-,-
'[19:54:48.544]',0.291,0.541,89.119,-,-
'[19:54:48.552]',0.307,0.537,88.290,-,-
'[19:54:48.560]',0.315,0.537,87.461,-,-
'[19:54:48.568]',0.331,0.537,86.632,-,-
'[19:54:48.576]',0.370,0.533,86.010,-,-
'[19:54:48.584]',0.394,0.533,85.181,-,-
'[19:54:48.592]',0.386,0.529,84.352,-,-
'[19:54:48.600]',0.362,0.529,84.352,-,-
'[19:54:48.608]',0.346,0.525,83.523,-,-
'[19:54:48.616]',0.354,0.522,83.523,-,-
'[19:54:48.624]',0.370,0.522,83.523,-,-
'[19:54:48.632]',0.386,0.518,82.902,-,-
