'Time','II','III','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[13:13:42.976]',0.150,-,0.570,0.869,0.507,0.410,78.227
'[13:13:42.984]',0.160,-,0.561,0.859,0.507,0.404,78.227
'[13:13:42.992]',0.166,-,0.561,0.859,0.507,0.398,77.836
'[13:13:43.000]',0.166,-,0.555,0.859,0.506,0.392,77.249
'[13:13:43.008]',0.166,-,0.555,0.865,0.506,0.386,76.662
'[13:13:43.016]',0.166,-,0.555,0.875,0.505,0.379,76.467
'[13:13:43.024]',0.170,-,0.555,0.875,0.505,0.373,76.076
'[13:13:43.032]',0.166,-,0.551,0.879,0.506,0.367,75.880
'[13:13:43.040]',0.170,-,0.551,0.879,0.506,0.359,75.489
'[13:13:43.048]',0.176,-,0.551,0.885,0.506,0.353,75.293
'[13:13:43.056]',0.180,-,0.551,0.889,0.506,0.348,75.098
'[13:13:43.064]',0.180,-,0.551,0.900,0.506,0.348,74.902
'[13:13:43.072]',0.186,-,0.545,0.904,0.505,0.349,74.707
'[13:13:43.080]',0.189,-,0.545,0.910,0.505,0.348,74.316
'[13:13:43.088]',0.189,-,0.535,0.914,0.506,0.346,73.924
'[13:13:43.096]',0.205,-,0.529,0.914,0.506,0.344,73.533
'[13:13:43.104]',0.215,-,0.529,0.910,0.506,0.341,73.533
'[13:13:43.112]',0.221,-,0.520,0.904,0.506,0.338,73.533
'[13:13:43.120]',0.230,-,0.506,0.900,0.506,0.334,73.729
'[13:13:43.128]',0.250,-,0.494,0.889,0.506,0.329,73.729
'[13:13:43.136]',0.260,-,0.484,0.875,0.506,0.325,73.729
'[13:13:43.144]',0.279,-,0.475,0.855,0.506,0.320,73.924
'[13:13:43.152]',0.291,-,0.461,0.834,0.505,0.315,74.707
'[13:13:43.160]',0.305,-,0.455,0.820,0.505,0.312,75.685
'[13:13:43.168]',0.311,-,0.449,0.799,0.504,0.308,77.249
'[13:13:43.176]',0.295,-,0.455,0.789,0.503,0.306,79.400
'[13:13:43.184]',0.270,-,0.471,0.785,0.502,0.304,81.943
'[13:13:43.192]',0.250,-,0.480,0.779,0.500,0.301,85.463
'[13:13:43.200]',0.230,-,0.500,0.779,0.499,0.298,89.374
'[13:13:43.208]',0.215,-,0.510,0.775,0.497,0.295,93.677
'[13:13:43.216]',0.201,-,0.520,0.775,0.495,0.292,97.979
'[13:13:43.224]',0.189,-,0.525,0.775,0.492,0.289,102.477
'[13:13:43.232]',0.186,-,0.529,0.785,0.490,0.285,106.780
'[13:13:43.240]',0.170,-,0.535,0.785,0.487,0.282,110.691
'[13:13:43.248]',0.166,-,0.539,0.789,0.485,0.279,114.407
'[13:13:43.256]',0.160,-,0.545,0.779,0.482,0.276,117.731
'[13:13:43.264]',0.156,-,0.551,0.775,0.479,0.272,120.078
'[13:13:43.272]',0.160,-,0.551,0.775,0.476,0.268,122.034
'[13:13:43.280]',0.156,-,0.551,0.779,0.473,0.264,123.599
'[13:13:43.288]',0.156,-,0.545,0.775,0.470,0.260,124.576
'[13:13:43.296]',0.160,-,0.545,0.770,0.467,0.257,125.163
'[13:13:43.304]',0.160,-,0.551,0.770,0.464,0.254,125.554
'[13:13:43.312]',0.156,-,0.545,0.775,0.462,0.253,125.554
'[13:13:43.320]',0.160,-,0.545,0.770,0.460,0.252,125.163
'[13:13:43.328]',0.166,-,0.545,0.770,0.458,0.250,123.990
'[13:13:43.336]',0.160,-,0.539,0.770,0.457,0.249,122.230
'[13:13:43.344]',0.166,-,0.545,0.770,0.455,0.249,119.883
'[13:13:43.352]',0.166,-,0.539,0.770,0.453,0.249,116.949
'[13:13:43.360]',0.160,-,0.545,0.770,0.452,0.250,113.625
'[13:13:43.368]',0.156,-,0.551,0.770,0.450,0.251,109.909
'[13:13:43.376]',0.150,-,0.551,0.770,0.449,0.251,106.193
'[13:13:43.384]',0.145,-,0.551,0.766,0.448,0.253,102.477
'[13:13:43.392]',0.150,-,0.551,0.766,0.447,0.256,99.153
'[13:13:43.400]',0.156,-,0.545,0.770,0.445,0.262,96.219
'[13:13:43.408]',0.156,-,0.545,0.766,0.444,0.270,93.677
'[13:13:43.416]',0.150,-,0.545,0.766,0.443,0.283,91.721
'[13:13:43.424]',0.145,-,0.551,0.766,0.442,0.299,90.157
'[13:13:43.432]',0.150,-,0.551,0.766,0.442,0.320,89.179
'[13:13:43.440]',0.145,-,0.551,0.770,0.442,0.343,88.592
'[13:13:43.448]',0.141,-,0.551,0.770,0.442,0.365,88.201
'[13:13:43.456]',0.141,-,0.555,0.770,0.442,0.386,88.201
'[13:13:43.464]',0.141,-,0.551,0.766,0.442,0.412,88.201
'[13:13:43.472]',0.145,-,0.551,0.766,0.443,0.438,88.592
'[13:13:43.480]',0.150,-,0.551,0.766,0.443,0.464,88.788
'[13:13:43.488]',0.150,-,0.551,0.766,0.444,0.490,88.983
'[13:13:43.496]',0.160,-,0.535,0.770,0.444,0.514,89.374
'[13:13:43.504]',0.176,-,0.529,0.779,0.445,0.537,89.570
'[13:13:43.512]',0.189,-,0.516,0.766,0.445,0.559,89.765
'[13:13:43.520]',0.211,-,0.506,0.766,0.445,0.580,89.765
'[13:13:43.528]',0.221,-,0.494,0.770,0.445,0.600,89.765
'[13:13:43.536]',0.234,-,0.480,0.744,0.445,0.619,89.765
'[13:13:43.544]',0.256,-,0.471,0.730,0.444,0.636,89.765
'[13:13:43.552]',0.260,-,0.465,0.725,0.444,0.650,89.765
'[13:13:43.560]',0.230,-,0.475,0.730,0.443,0.660,89.374
'[13:13:43.568]',0.205,-,0.490,0.725,0.442,0.670,89.179
'[13:13:43.576]',0.180,-,0.516,0.750,0.440,0.677,88.983
'[13:13:43.584]',0.160,-,0.529,0.766,0.439,0.681,88.788
'[13:13:43.592]',0.141,-,0.545,0.766,0.438,0.682,88.396
'[13:13:43.600]',0.121,-,0.561,0.766,0.436,0.679,88.201
'[13:13:43.608]',0.100,-,0.574,0.766,0.435,0.673,87.810
'[13:13:43.616]',0.105,-,0.570,0.770,0.434,0.662,87.419
'[13:13:43.624]',0.096,-,0.574,0.779,0.432,0.650,87.223
