'Time','ABP','PLETH','II'
'hh:mm:ss.mmm','mmHg','NU','mV'
'[23:07:00.000]',121.094,0.357,-0.252
'[23:07:00.008]',117.188,0.388,-0.252
'[23:07:00.016]',114.062,0.416,-0.260
'[23:07:00.024]',110.938,0.447,-0.252
'[23:07:00.032]',107.812,0.475,-0.244
'[23:07:00.040]',105.469,0.506,-0.252
'[23:07:00.048]',103.906,0.533,-0.244
'[23:07:00.056]',102.344,0.561,-0.252
'[23:07:00.064]',100.781,0.584,-0.244
'[23:07:00.072]',99.219,0.604,-0.244
'[23:07:00.080]',98.438,0.627,-0.252
'[23:07:00.088]',97.656,0.647,-0.244
'[23:07:00.096]',96.875,0.667,-0.236
'[23:07:00.104]',96.094,0.682,-0.244
'[23:07:00.112]',95.312,0.694,-0.244
'[23:07:00.120]',94.531,0.706,-0.244
'[23:07:00.128]',93.750,0.718,-0.236
'[23:07:00.136]',92.969,0.722,-0.228
'[23:07:00.144]',92.969,0.729,-0.228
'[23:07:00.152]',92.188,0.729,-0.205
'[23:07:00.160]',92.188,0.729,-0.173
'[23:07:00.168]',91.406,0.725,-0.165
'[23:07:00.176]',90.625,0.725,-0.142
'[23:07:00.184]',90.625,0.718,-0.118
'[23:07:00.192]',89.844,0.714,-0.055
'[23:07:00.200]',89.062,0.706,-0.047
'[23:07:00.208]',88.281,0.694,-0.031
'[23:07:00.216]',88.281,0.686,-0.079
'[23:07:00.224]',87.500,0.671,-0.134
'[23:07:00.232]',86.719,0.655,-0.173
'[23:07:00.240]',86.719,0.639,-0.213
'[23:07:00.248]',85.938,0.620,-0.228
'[23:07:00.256]',85.156,0.604,-0.236
'[23:07:00.264]',84.375,0.584,-0.236
'[23:07:00.272]',84.375,0.569,-0.236
'[23:07:00.280]',83.594,0.553,-0.244
'[23:07:00.288]',82.812,0.533,-0.268
'[23:07:00.296]',82.031,0.518,-0.157
'[23:07:00.304]',81.250,0.498,0.150
'[23:07:00.312]',81.250,0.486,0.654
'[23:07:00.320]',80.469,0.471,0.961
'[23:07:00.328]',79.688,0.455,0.795
'[23:07:00.336]',79.688,0.443,0.362
'[23:07:00.344]',78.906,0.431,0.000
'[23:07:00.352]',78.906,0.420,-0.142
'[23:07:00.360]',78.125,0.412,-0.244
'[23:07:00.368]',77.344,0.404,-0.276
'[23:07:00.376]',77.344,0.396,-0.283
'[23:07:00.384]',76.562,0.388,-0.283
'[23:07:00.392]',76.562,0.380,-0.283
'[23:07:00.400]',75.781,0.373,-0.283
'[23:07:00.408]',75.781,0.365,-0.276
'[23:07:00.416]',75.781,0.357,-0.260
'[23:07:00.424]',75.000,0.349,-0.260
'[23:07:00.432]',75.000,0.345,-0.244
'[23:07:00.440]',74.219,0.337,-0.236
'[23:07:00.448]',74.219,0.333,-0.228
'[23:07:00.456]',73.438,0.325,-0.213
'[23:07:00.464]',73.438,0.322,-0.197
'[23:07:00.472]',72.656,0.318,-0.189
'[23:07:00.480]',72.656,0.314,-0.173
'[23:07:00.488]',71.875,0.310,-0.157
'[23:07:00.496]',71.875,0.306,-0.150
'[23:07:00.504]',71.875,0.302,-0.134
'[23:07:00.512]',71.094,0.298,-0.118
'[23:07:00.520]',71.094,0.294,-0.102
'[23:07:00.528]',70.312,0.290,-0.087
'[23:07:00.536]',70.312,0.290,-0.071
'[23:07:00.544]',71.094,0.286,-0.047
'[23:07:00.552]',72.656,0.282,-0.031
'[23:07:00.560]',75.000,0.282,-0.016
'[23:07:00.568]',78.906,0.278,0.008
'[23:07:00.576]',84.375,0.278,0.039
'[23:07:00.584]',89.844,0.275,0.063
'[23:07:00.592]',95.312,0.275,0.079
'[23:07:00.600]',100.781,0.271,0.094
'[23:07:00.608]',106.250,0.271,0.118
'[23:07:00.616]',111.719,0.271,0.118
'[23:07:00.624]',116.406,0.267,0.118
'[23:07:00.632]',121.094,0.267,0.110
'[23:07:00.640]',125.781,0.267,0.071
'[23:07:00.648]',130.469,0.263,0.031
'[23:07:00.656]',135.156,0.263,-0.016
'[23:07:00.664]',139.844,0.263,-0.047
'[23:07:00.672]',143.750,0.263,-0.071
'[23:07:00.680]',146.875,0.263,-0.094
'[23:07:00.688]',149.219,0.259,-0.102
'[23:07:00.696]',151.562,0.259,-0.102
'[23:07:00.704]',153.125,0.259,-0.102
'[23:07:00.712]',153.906,0.259,-0.110
'[23:07:00.720]',154.688,0.255,-0.110
'[23:07:00.728]',154.688,0.255,-0.102
'[23:07:00.736]',153.906,0.255,-0.110
'[23:07:00.744]',153.125,0.255,-0.110
'[23:07:00.752]',151.562,0.251,-0.102
'[23:07:00.760]',150.000,0.251,-0.102
'[23:07:00.768]',148.438,0.251,-0.102
'[23:07:00.776]',146.875,0.251,-0.094
'[23:07:00.784]',145.312,0.251,-0.094
'[23:07:00.792]',143.750,0.255,-0.094
'[23:07:00.800]',141.406,0.259,-0.087
'[23:07:00.808]',139.062,0.263,-0.087
'[23:07:00.816]',135.938,0.275,-0.079
'[23:07:00.824]',132.812,0.290,-0.071
'[23:07:00.832]',128.906,0.306,-0.071
'[23:07:00.840]',125.781,0.329,-0.071
'[23:07:00.848]',121.094,0.353,-0.071
'[23:07:00.856]',117.969,0.376,-0.071
'[23:07:00.864]',114.062,0.400,-0.071
'[23:07:00.872]',110.938,0.424,-0.071
'[23:07:00.880]',108.594,0.451,-0.063
'[23:07:00.888]',106.250,0.478,-0.071
'[23:07:00.896]',103.906,0.506,-0.071
'[23:07:00.904]',102.344,0.533,-0.071
'[23:07:00.912]',100.000,0.561,-0.063
'[23:07:00.920]',99.219,0.584,-0.063
'[23:07:00.928]',97.656,0.608,-0.063
'[23:07:00.936]',96.875,0.631,-0.063
'[23:07:00.944]',96.094,0.655,-0.055
'[23:07:00.952]',95.312,0.671,-0.047
'[23:07:00.960]',94.531,0.686,-0.047
'[23:07:00.968]',93.750,0.694,-0.047
'[23:07:00.976]',93.750,0.706,-0.047
'[23:07:00.984]',92.969,0.718,-0.039
'[23:07:00.992]',92.188,0.722,-0.016
'[23:07:01.000]',92.188,0.729,0.016
'[23:07:01.008]',91.406,0.733,0.024
'[23:07:01.016]',90.625,0.733,0.047
'[23:07:01.024]',90.625,0.733,0.094
'[23:07:01.032]',89.844,0.729,0.134
'[23:07:01.040]',89.062,0.725,0.142
'[23:07:01.048]',89.062,0.718,0.150
'[23:07:01.056]',88.281,0.710,0.094
'[23:07:01.064]',87.500,0.702,0.039
'[23:07:01.072]',87.500,0.690,0.008
'[23:07:01.080]',86.719,0.678,-0.031
'[23:07:01.088]',85.938,0.663,-0.047
'[23:07:01.096]',85.938,0.647,-0.047
'[23:07:01.104]',85.156,0.631,-0.055
'[23:07:01.112]',84.375,0.612,-0.047
'[23:07:01.120]',83.594,0.596,-0.047
'[23:07:01.128]',82.812,0.576,-0.071
'[23:07:01.136]',82.812,0.561,0.063
'[23:07:01.144]',82.031,0.545,0.417
'[23:07:01.152]',81.250,0.529,0.929
'[23:07:01.160]',80.469,0.514,1.150
'[23:07:01.168]',80.469,0.502,0.937
'[23:07:01.176]',79.688,0.490,0.457
'[23:07:01.184]',78.906,0.478,0.165
'[23:07:01.192]',78.906,0.467,0.031
'[23:07:01.200]',78.125,0.455,-0.063
'[23:07:01.208]',78.125,0.447,-0.087
'[23:07:01.216]',77.344,0.435,-0.094
'[23:07:01.224]',76.562,0.427,-0.102
'[23:07:01.232]',76.562,0.420,-0.094
'[23:07:01.240]',75.781,0.412,-0.087
'[23:07:01.248]',75.781,0.404,-0.071
'[23:07:01.256]',75.000,0.396,-0.071
'[23:07:01.264]',75.000,0.392,-0.063
'[23:07:01.272]',74.219,0.388,-0.047
'[23:07:01.280]',74.219,0.380,-0.047
'[23:07:01.288]',73.438,0.376,-0.024
'[23:07:01.296]',73.438,0.373,-0.016
'[23:07:01.304]',72.656,0.365,0.000
'[23:07:01.312]',72.656,0.361,0.008
'[23:07:01.320]',72.656,0.357,0.024
'[23:07:01.328]',71.875,0.353,0.031
'[23:07:01.336]',71.875,0.349,0.039
'[23:07:01.344]',71.094,0.345,0.055
'[23:07:01.352]',71.094,0.337,0.063
'[23:07:01.360]',70.312,0.337,0.079
'[23:07:01.368]',70.312,0.333,0.094
'[23:07:01.376]',70.312,0.329,0.118
'[23:07:01.384]',71.094,0.325,0.126
'[23:07:01.392]',72.656,0.322,0.150
'[23:07:01.400]',75.000,0.322,0.181
'[23:07:01.408]',79.688,0.318,0.205
'[23:07:01.416]',84.375,0.314,0.236
