'Time','II','III','AVR','AVL','AVF','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','pm','NU','mmHg'
'[14:52:49.221]',-0.166,-,0.680,-,-,0.320,0.919,2.842,100.184
'[14:52:49.229]',-0.130,-,0.655,-,-,0.310,0.918,2.858,99.549
'[14:52:49.237]',-0.086,-,0.630,-,-,0.305,0.918,2.854,99.048
'[14:52:49.245]',-0.075,-,0.625,-,-,0.310,0.918,2.835,98.552
'[14:52:49.253]',-0.100,-,0.665,-,-,0.335,0.918,2.805,98.051
'[14:52:49.261]',-0.095,-,0.655,-,-,0.340,0.918,2.767,97.619
'[14:52:49.269]',-0.126,-,0.690,-,-,0.345,0.918,2.720,97.048
'[14:52:49.277]',-0.095,-,0.655,-,-,0.335,0.919,2.667,96.483
'[14:52:49.285]',-0.100,-,0.675,-,-,0.345,0.919,2.607,95.867
'[14:52:49.293]',-0.075,-,0.645,-,-,0.345,0.919,2.542,95.232
'[14:52:49.301]',-0.095,-,0.670,-,-,0.350,0.920,2.472,94.552
'[14:52:49.309]',-0.055,-,0.625,-,-,0.345,0.919,2.404,93.873
'[14:52:49.317]',-0.090,-,0.660,-,-,0.345,0.919,2.339,93.187
'[14:52:49.325]',-0.070,-,0.640,-,-,0.335,0.919,2.281,92.483
'[14:52:49.333]',-0.075,-,0.645,-,-,0.345,0.919,2.232,91.803
'[14:52:49.341]',-0.050,-,0.630,-,-,0.335,0.919,2.195,91.238
'[14:52:49.349]',-0.061,-,0.645,-,-,0.325,0.919,2.171,90.667
'[14:52:49.357]',0.105,-,0.510,-,-,0.285,0.918,2.156,90.171
'[14:52:49.365]',0.530,-,0.275,-,-,-0.025,0.917,2.150,89.670
'[14:52:49.373]',1.075,-,-0.041,-,-,-0.500,0.914,2.150,89.238
'[14:52:49.381]',1.501,-,-0.301,-,-,-0.500,0.912,2.155,88.806
'[14:52:49.389]',1.501,-,-0.500,-,-,-0.500,0.910,2.163,88.375
'[14:52:49.397]',1.501,-,-0.435,-,-,-0.500,0.907,2.171,87.987
'[14:52:49.405]',1.130,-,-0.171,-,-,-0.500,0.904,2.177,87.625
'[14:52:49.413]',0.320,-,0.380,-,-,-0.166,0.901,2.178,87.308
'[14:52:49.421]',-0.045,-,0.625,-,-,0.320,0.896,2.175,86.990
'[14:52:49.429]',-0.135,-,0.690,-,-,0.510,0.892,2.168,86.806
'[14:52:49.437]',-0.160,-,0.700,-,-,0.560,0.887,2.158,86.673
'[14:52:49.445]',-0.155,-,0.690,-,-,0.575,0.882,2.144,86.629
'[14:52:49.453]',-0.211,-,0.745,-,-,0.585,0.876,2.127,86.629
'[14:52:49.461]',-0.196,-,0.720,-,-,0.590,0.871,2.109,86.629
'[14:52:49.469]',-0.216,-,0.745,-,-,0.595,0.865,2.085,86.673
'[14:52:49.477]',-0.191,-,0.715,-,-,0.590,0.859,2.059,86.673
'[14:52:49.485]',-0.211,-,0.735,-,-,0.595,0.852,2.033,86.629
'[14:52:49.493]',-0.191,-,0.705,-,-,0.580,0.845,2.009,86.419
'[14:52:49.501]',-0.205,-,0.735,-,-,0.575,0.838,1.983,86.127
'[14:52:49.509]',-0.180,-,0.710,-,-,0.565,0.830,1.957,85.740
'[14:52:49.517]',-0.191,-,0.725,-,-,0.570,0.822,1.932,85.238
'[14:52:49.525]',-0.160,-,0.685,-,-,0.550,0.814,1.908,84.743
'[14:52:49.533]',-0.171,-,0.705,-,-,0.555,0.806,1.886,84.171
'[14:52:49.541]',-0.151,-,0.680,-,-,0.545,0.798,1.862,83.625
'[14:52:49.549]',-0.166,-,0.705,-,-,0.550,0.790,1.841,83.105
'[14:52:49.557]',-0.140,-,0.675,-,-,0.540,0.782,1.822,82.559
'[14:52:49.565]',-0.146,-,0.690,-,-,0.545,0.775,1.804,82.057
'[14:52:49.573]',-0.120,-,0.665,-,-,0.530,0.768,1.784,81.562
'[14:52:49.581]',-0.130,-,0.680,-,-,0.535,0.760,1.761,81.175
'[14:52:49.589]',-0.100,-,0.650,-,-,0.520,0.753,1.739,80.927
'[14:52:49.597]',-0.110,-,0.670,-,-,0.530,0.745,1.716,80.673
'[14:52:49.605]',-0.095,-,0.650,-,-,0.515,0.738,1.695,80.425
'[14:52:49.613]',-0.095,-,0.660,-,-,0.525,0.731,1.672,80.178
'[14:52:49.621]',-0.065,-,0.635,-,-,0.530,0.725,1.646,79.860
'[14:52:49.629]',-0.050,-,0.625,-,-,0.520,0.719,1.623,79.606
'[14:52:49.637]',-0.055,-,0.635,-,-,0.530,0.713,1.599,79.429
'[14:52:49.645]',-0.000,-,0.585,-,-,0.520,0.707,1.576,79.359
'[14:52:49.653]',-0.015,-,0.610,-,-,0.530,0.701,1.555,79.429
'[14:52:49.661]',0.040,-,0.560,-,-,0.520,0.695,1.539,79.562
'[14:52:49.669]',0.020,-,0.585,-,-,0.510,0.689,1.522,79.676
'[14:52:49.677]',0.060,-,0.545,-,-,0.500,0.683,1.506,79.810
'[14:52:49.685]',0.044,-,0.565,-,-,0.495,0.677,1.491,79.924
'[14:52:49.693]',0.070,-,0.535,-,-,0.470,0.672,1.475,80.178
'[14:52:49.701]',0.050,-,0.555,-,-,0.460,0.666,1.462,80.813
'[14:52:49.709]',0.065,-,0.535,-,-,0.430,0.662,1.451,82.241
'[14:52:49.717]',0.030,-,0.555,-,-,0.425,0.657,1.440,85.175
'[14:52:49.725]',0.035,-,0.550,-,-,0.405,0.653,1.431,90.419
'[14:52:49.733]',-0.030,-,0.605,-,-,0.400,0.649,1.423,98.368
'[14:52:49.741]',-0.025,-,0.595,-,-,0.395,0.645,1.413,108.495
'[14:52:49.749]',-0.090,-,0.650,-,-,0.400,0.640,1.404,119.740
'[14:52:49.757]',-0.095,-,0.640,-,-,0.385,0.634,1.397,130.622
'[14:52:49.765]',-0.126,-,0.670,-,-,0.400,0.629,1.391,139.867
'[14:52:49.773]',-0.130,-,0.665,-,-,0.390,0.623,1.384,146.679
'[14:52:49.781]',-0.151,-,0.690,-,-,0.405,0.618,1.378,150.495
'[14:52:49.789]',-0.146,-,0.680,-,-,0.400,0.612,1.371,151.175
'[14:52:49.797]',-0.166,-,0.700,-,-,0.410,0.606,1.364,149.314
'[14:52:49.805]',-0.146,-,0.675,-,-,0.415,0.599,1.358,145.562
'[14:52:49.813]',-0.166,-,0.700,-,-,0.405,0.591,1.351,140.863
'[14:52:49.821]',-0.130,-,0.665,-,-,0.415,0.583,1.341,136.000
'[14:52:49.829]',-0.151,-,0.690,-,-,0.405,0.574,1.328,131.257
