'Time','I','II','AVR','V','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[20:35:03.961]',-,-,-,-,-,-,-
'[20:35:03.969]',-,-,-,-,-,-,-
'[20:35:03.977]',-,-,-,-,-,-,-
'[20:35:03.985]',-,-,-,-,-,-,-
'[20:35:03.993]',-,-,-,-,-,-,-
'[20:35:04.001]',-,-,-,-,-,-,-
'[20:35:04.009]',-,-,-,-,-,-,-
'[20:35:04.017]',-,-,-,-,-,-,-
'[20:35:04.025]',-,-,-,-,-,-,-
'[20:35:04.033]',-,-,-,-,-,-,-
'[20:35:04.041]',-,-,-,-,-,-,-
'[20:35:04.049]',-,-,-,-,-,-,-
'[20:35:04.057]',-,-,-,-,-,-,-
'[20:35:04.065]',-,-,-,-,-,-,-
'[20:35:04.073]',-,-,-,-,-,-,-
'[20:35:04.081]',-,-,-,-,-,-,-
'[20:35:04.089]',-,-,-,-,-,-,-
'[20:35:04.097]',-,-,-,-,-,-,-
'[20:35:04.105]',-,-,-,-,-,-,-
'[20:35:04.113]',-,-,-,-,-,-,-
'[20:35:04.121]',-,-,-,-,-,-,-
'[20:35:04.129]',-,-,-,-,-,-,-
'[20:35:04.137]',-,-,-,-,-,-,-
'[20:35:04.145]',-,-,-,-,-,-,-
'[20:35:04.153]',-,-,-,-,-,-,-
'[20:35:04.161]',-,-,-,-,-,-,-
'[20:35:04.169]',-,-,-,-,-,-,-
'[20:35:04.177]',-,-,-,-,-,-,-
'[20:35:04.185]',-,-,-,-,-,-,-
'[20:35:04.193]',-,-,-,-,-,-,-
'[20:35:04.201]',-,-,-,-,-,-,-
'[20:35:04.209]',-,-,-,-,-,-,-
'[20:35:04.217]',-,-,-,-,-,-,-
'[20:35:04.225]',-,-,-,-,-,-,-
'[20:35:04.233]',-,-,-,-,-,-,-
'[20:35:04.241]',-,-,-,-,-,-,-
'[20:35:04.249]',-,-,-,-,-,-,-
'[20:35:04.257]',-,-,-,-,-,-,-
'[20:35:04.265]',-,-,-,-,-,-,-
'[20:35:04.273]',-,-,-,-,-,-,-
'[20:35:04.281]',-,-,-,-,-,-,-
'[20:35:04.289]',-,-,-,-,-,-,-
'[20:35:04.297]',-,-,-,-,-,-,-
'[20:35:04.305]',-,-,-,-,-,-,-
'[20:35:04.313]',-,-,-,-,-,-,-
'[20:35:04.321]',-,-,-,-,-,-,-
'[20:35:04.329]',-,-,-,-,-,-,-
'[20:35:04.337]',-,-,-,-,-,-,-
'[20:35:04.345]',-,-,-,-,-,-,-
'[20:35:04.353]',-,-,-,-,-,-,-
'[20:35:04.361]',-,-,-,-,-,-,-
'[20:35:04.369]',-,-,-,-,-,-,-
'[20:35:04.377]',-,-,-,-,-,-,-
'[20:35:04.385]',-,-,-,-,-,-,-
'[20:35:04.393]',-,-,-,-,-,-,-
'[20:35:04.401]',-,-,-,-,-,-,-
'[20:35:04.409]',-,-,-,-,-,-,-
'[20:35:04.417]',-,-,-,-,-,-,-
'[20:35:04.425]',-,-,-,-,-,-,-
'[20:35:04.433]',-,-,-,-,-,-,-
'[20:35:04.441]',-,-,-,-,-,-,-
'[20:35:04.449]',-,-,-,-,-,-,-
'[20:35:04.457]',-,-,-,-,-,-,-
'[20:35:04.465]',-,-,-,-,-,-,-
'[20:35:04.473]',-,-,-,-,-,-,-
'[20:35:04.481]',-,-,-,-,-,-,-
'[20:35:04.489]',-,-,-,-,-,-,-
'[20:35:04.497]',-,-,-,-,-,-,-
'[20:35:04.505]',-,-,-,-,-,-,-
'[20:35:04.513]',-,-,-,-,-,-,-
'[20:35:04.521]',-,-,-,-,-,-,-
'[20:35:04.529]',-,-,-,-,-,-,-
'[20:35:04.537]',-,-,-,-,-,-,-
'[20:35:04.545]',-,-,-,-,-,-,-
'[20:35:04.553]',-,-,-,-,-,-,-
'[20:35:04.561]',-,-,-,-,-,-,-
'[20:35:04.569]',-,-,-,-,-,-,-
'[20:35:04.577]',-,-,-,-,-,-,-
'[20:35:04.585]',-,-,-,-,-,-,-
'[20:35:04.593]',-,-,-,-,-,-,-
'[20:35:04.601]',-,-,-,-,-,-,-
'[20:35:04.609]',-,-,-,-,-,-,-
'[20:35:04.617]',-,-,-,-,-,-,-
'[20:35:04.625]',-,-,-,-,-,-,-
'[20:35:04.633]',-,-,-,-,-,-,-
'[20:35:04.641]',-,-,-,-,-,-,-
'[20:35:04.649]',-,-,-,-,-,-,-
'[20:35:04.657]',-,-,-,-,-,-,-
'[20:35:04.665]',-,-,-,-,-,-,-
'[20:35:04.673]',-,-,-,-,-,-,-
'[20:35:04.681]',-,-,-,-,-,-,-
'[20:35:04.689]',-,-,-,-,-,-,-
'[20:35:04.697]',-,-,-,-,-,-,-
'[20:35:04.705]',-,-,-,-,-,-,-
'[20:35:04.713]',-,-,-,-,-,-,-
'[20:35:04.721]',-,-,-,-,-,-,-
'[20:35:04.729]',-,-,-,-,-,-,-
'[20:35:04.737]',-,-,-,-,-,-,-
'[20:35:04.745]',-,-,-,-,-,-,-
'[20:35:04.753]',-,-,-,-,-,-,-
'[20:35:04.761]',-,-,-,-,-,-,-
'[20:35:04.769]',-,-,-,-,-,-,-
'[20:35:04.777]',-,-,-,-,-,-,-
'[20:35:04.785]',-,-,-,-,-,-,-
'[20:35:04.793]',-,-,-,-,-,-,-
'[20:35:04.801]',-,-,-,-,-,-,-
'[20:35:04.809]',-,-,-,-,-,-,-
'[20:35:04.817]',-,-,-,-,-,-,-
'[20:35:04.825]',-,-,-,-,-,-,-
'[20:35:04.833]',-,-,-,-,-,-,-
'[20:35:04.841]',-,-,-,-,-,-,-
'[20:35:04.849]',-,-,-,-,-,-,-
'[20:35:04.857]',-,-,-,-,-,-,-
'[20:35:04.865]',-,-,-,-,-,-,-
'[20:35:04.873]',-,-,-,-,-,-,-
'[20:35:04.881]',-,-,-,-,-,-,-
'[20:35:04.889]',-,-,-,-,-,-,-
'[20:35:04.897]',-,-,-,-,-,-,-
'[20:35:04.905]',-,-,-,-,-,-,-
'[20:35:04.913]',-,-,-,-,-,-,-
'[20:35:04.921]',-,-,-,-,-,-,-
'[20:35:04.929]',-,-,-,-,-,-,-
'[20:35:04.937]',-,-,-,-,-,-,-
'[20:35:04.945]',-,-,-,-,-,-,-
'[20:35:04.953]',-,-,-,-,-,-,-
'[20:35:04.961]',-,-,-,-,-,-,-
'[20:35:04.969]',-,-,-,-,-,-,-
'[20:35:04.977]',-,-,-,-,-,-,-
'[20:35:04.985]',-,-,-,-,-,-,-
'[20:35:04.993]',-,-,-,-,-,-,-
'[20:35:05.001]',-,-,-,-,-,-,-
'[20:35:05.009]',-,-,-,-,-,-,-
